Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33-174,1991,4.0,13,1,0,0,0,8.8,0.32,-4.2,-1.06,23,59,39.0,107,9,44.9,37.2,26,42.3,32.3,45,3,6.7,6,1.50,15.7
Bernd Leno,GER,GK,Fulham,Premier League,32-227,1992,7.0,8,0,0,2,0,7.4,0.26,-0.6,-0.08,20,69,29.0,226,19,23.0,29.3,26,65.4,50.9,95,6,6.3,5,0.71,11.7
Donovan Léon,GUF,GK,Auxerre,Ligue 1,31-349,1992,7.0,15,1,0,3,1,11.2,0.29,-2.8,-0.41,46,135,34.1,217,33,53.9,40.8,27,66.7,55.1,112,7,6.3,10,1.43,14.8
Andriy Lunin,UKR,GK,Real Madrid,La Liga,25-249,1999,1.0,0,0,0,0,0,0.0,0.01,0.0,+0.01,2,5,40.0,25,2,8.0,22.6,9,33.3,39.2,14,0,0.0,1,1.00,9.5
Mike Maignan,FRA,GK,Milan,Serie A,29-106,1995,7.0,9,0,0,0,1,7.5,0.25,-0.5,-0.06,17,39,43.6,237,41,12.7,25.5,24,37.5,42.2,73,4,5.5,19,2.71,20.5
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,24-018,2000,9.0,13,1,0,1,0,13.0,0.35,0.0,+0.01,32,106,30.2,222,39,31.1,33.4,54,68.5,50.6,113,4,3.5,10,1.11,17.2
Steve Mandanda,FRA,GK,Rennes,Ligue 1,39-203,1985,7.0,11,0,0,2,1,8.2,0.26,-1.8,-0.26,28,80,35.0,170,25,37.1,34.8,28,60.7,46.2,75,3,4.0,4,0.57,12.2
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,32-045,1992,7.0,9,1,0,0,0,8.2,0.30,-0.8,-0.11,34,72,47.2,208,24,26.4,30.5,31,54.8,44.9,83,9,10.8,8,1.14,13.9
Alex McCarthy,ENG,GK,Southampton,Premier League,34-319,1989,2.0,2,0,0,1,0,2.3,0.25,+0.3,+0.13,4,7,57.1,49,11,14.3,22.2,4,0.0,18.5,26,3,11.5,0,0.00,6.9
Alex Meret,ITA,GK,Napoli,Serie A,27-209,1997,4.4,4,1,0,0,0,5.7,0.38,+1.7,+0.38,6,31,19.4,95,18,21.1,29.2,33,33.3,33.7,51,3,5.9,3,0.68,18.0
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,27-240,1997,6.0,8,0,0,1,0,12.2,0.35,+4.2,+0.70,36,108,33.3,188,32,34.6,35.8,64,67.2,57.5,125,3,2.4,1,0.17,10.1
