Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Miloš Pantović,SRB,"MF,FW",Eupen,27,1996,19,"1,287",68,47.7,14.3,16,75,4,3,27,1,0.42,10,30,-20,-1.40,-0.51,12.5,27.9,-15.4,-1.08,-0.24
Jonathan Panzo,ENG,DF,Standard Liège,22,2000,5,219,44,8.1,2.4,2,68,1,3,28,2,0.91,5,5,0,0.00,+0.29,3.7,3.8,-0.1,-0.03,+0.39
Louis Patris,BEL,DF,Anderlecht,22,2001,15,932,62,34.5,10.4,10,83,7,5,21,6,2.13,21,11,+10,+0.97,+0.05,13.7,13.5,+0.2,+0.02,-0.54
Pierre Patron,FRA,GK,Charleroi,25,1997,4,360,90,13.3,4.0,4,90,4,0,,4,0.75,3,9,-6,-1.50,-0.88,3.9,6.1,-2.2,-0.55,-0.13
Shayne Pattynama,IDN,DF,Eupen,24,1998,3,41,14,1.5,0.5,0,,0,3,14,1,0.50,0,2,-2,-4.39,-3.31,0.4,0.4,0.0,+0.06,+1.03
Mike Penders,BEL,GK,Genk,18,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
Pietro Perdichizzi,BEL,DF,Westerlo,30,1992,6,536,89,19.9,6.0,6,89,4,0,,8,0.17,7,16,-9,-1.51,-1.39,5.9,10.5,-4.6,-0.77,-0.61
Stipe Perica,CRO,"FW,MF",Standard Liège,28,1995,6,94,16,3.5,1.0,0,,0,6,16,8,0.75,0,1,-1,-0.96,-0.72,1.8,1.0,+0.8,+0.74,+1.16
Jérémy Pétris,FRA,DF,Charleroi,25,1998,7,630,90,23.3,7.0,7,90,7,0,,0,1.50,2,10,-8,-1.14,-0.53,5.3,8.6,-3.4,-0.48,-0.06
Patrick Pflücke,GER,"FW,DF",Mechelen,26,1996,24,"1,160",48,43.0,12.9,11,81,5,13,21,2,1.56,20,16,+4,+0.31,+0.25,21.7,18.5,+3.2,+0.25,+0.44
Del Piage,BRA,MF,RWD Molenbeek,23,2000,5,63,13,2.3,0.7,0,,0,5,13,2,0.57,1,1,0,0.00,+1.23,1.0,0.5,+0.5,+0.66,+1.76
Arthur Piedfort,BEL,"MF,DF",Westerlo,18,2005,17,"1,465",86,54.3,16.3,17,86,7,0,,3,1.12,24,26,-2,-0.12,+0.61,23.4,25.4,-2.0,-0.12,+0.35
Lucas Pirard,BEL,GK,Kortrijk,28,1995,9,810,90,30.0,9.0,9,90,9,0,,17,1.40,10,10,0,0.00,+1.67,7.5,14.2,-6.7,-0.74,+0.34
Ewoud Pletinckx,BEL,DF,OH Leuven,22,2000,30,"2,700",90,100.0,30.0,30,90,30,0,,0,1.06,34,47,-13,-0.43,,33.7,44.8,-11.1,-0.37,
Boris Popović,SRB,DF,Cercle Brugge,23,2000,29,"1,994",69,73.9,22.2,23,80,14,6,26,0,1.62,35,26,+9,+0.41,+0.28,38.8,27.4,+11.4,+0.52,+0.48
Ángelo Preciado,ECU,"DF,FW",Genk,25,1998,2,61,31,2.3,0.7,1,60,0,1,1,0,1.50,0,1,-1,-1.48,-2.19,1.8,0.3,+1.4,+2.11,+1.27
Maxence Prevot,FRA,GK,OH Leuven,26,1997,11,990,90,36.7,11.0,11,90,11,0,,14,1.21,17,21,-4,-0.36,+0.11,15.8,17.3,-1.5,-0.13,+0.37
Isaac Price,NIR,"MF,DF",Standard Liège,19,2003,28,"1,655",59,61.3,18.4,18,80,10,10,21,0,0.95,19,27,-8,-0.44,-0.44,20.4,27.7,-7.3,-0.40,-0.03
Cameron Puertas,SUI,MF,Union SG,24,1998,30,"2,417",81,89.5,26.9,29,83,16,1,3,0,2.10,55,28,+27,+1.01,-0.58,52.3,24.7,+27.6,+1.03,-0.16
Abdoul Rachid Ayinde,BFA,"DF,MF",Gent,18,2005,1,7,7,0.3,0.1,0,,0,1,7,1,0.00,0,0,0,0.00,-0.50,0.0,0.0,0.0,+0.32,+0.09
Aleksandar Radovanović,SRB,DF,Kortrijk,29,1993,11,985,90,36.5,10.9,11,90,10,0,,3,0.45,6,25,-19,-1.74,-0.90,9.6,22.8,-13.3,-1.21,-0.37
Toon Raemaekers,BEL,"DF,MF",Mechelen,22,2000,6,121,20,4.5,1.3,1,36,0,5,17,3,1.67,6,1,+5,+3.72,+3.72,2.8,1.2,+1.6,+1.16,+1.21
Benito Raman,BEL,FW,Anderlecht,28,1994,10,275,28,10.2,3.1,3,57,0,7,15,0,2.10,5,2,+3,+0.98,+0.05,7.2,4.3,+2.9,+0.95,+0.64
Mathias Rasmussen,NOR,MF,Union SG,25,1997,28,"1,577",56,58.4,17.5,18,77,6,10,20,1,2.14,39,15,+24,+1.37,+0.73,34.4,13.3,+21.1,+1.20,+0.38
Oregan Ravet,BEL,GK,OH Leuven,22,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,
Christiaan Ravych,BEL,DF,Cercle Brugge,21,2002,15,"1,071",71,39.7,11.9,12,86,11,3,12,1,1.52,15,11,+4,+0.34,0.00,19.2,13.0,+6.2,+0.52,+0.21
Jeff Reine-Adélaïde,FRA,MF,RWD Molenbeek,25,1998,20,"1,367",68,50.6,15.2,18,73,3,2,30,1,0.76,14,25,-11,-0.72,+0.96,13.4,30.1,-16.7,-1.10,-0.06
