Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Valentin Gendrey,FRA,DF,Lecce,24-115,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,5,4,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,https://fbref.com/fr/joueurs/822ed0ec/Valentin-Gendrey
Daniele Ghilardi,ITA,DF,Hellas Verona,21-282,2003,1,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/9cedad4b/Daniele-Ghilardi
Lautaro Gianetti,ARG,DF,Udinese,30-336,1993,4,4,299,3.3,1,0,1,1,0,0,3,0,0.1,0.0,0.0,0.0,0,5,0,0.30,0.00,0.30,0.30,0.30,0.02,0.00,0.02,0.00,0.00,https://fbref.com/fr/joueurs/e08ac719/Lautaro-Gianetti
Mario Gila,ESP,DF,Lazio,24-046,2000,4,4,360,4.0,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,4,19,0,0.25,0.00,0.25,0.25,0.25,0.13,0.02,0.14,0.13,0.14,https://fbref.com/fr/joueurs/9c435456/Mario-Gila
Billy Gilmour,SCO,MT,Napoli,23-125,2001,4,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,https://fbref.com/fr/joueurs/df10e27c/Billy-Gilmour
Gvidas Gineitis,LTU,MT,Torino,20-182,2004,3,1,102,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.7,0,2,5,0.00,0.88,0.88,0.00,0.88,0.07,0.59,0.66,0.07,0.66,https://fbref.com/fr/joueurs/548bd0de/Gvidas-Gineitis
Ben Godfrey,ENG,DF,Atalanta,26-273,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/9f7c837d/Ben-Godfrey
Saba Goglichidze,GEO,DF,Empoli,20-111,2004,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/011d370e/Saba-Goglichidze
Edoardo Goldaniga,ITA,DF,Como,30-347,1993,4,1,130,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/4b029b31/Edoardo-Goldaniga
Pierluigi Gollini,ITA,GB,Genoa,29-210,1995,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/f0f7f62f/Pierluigi-Gollini
Nicolás González,ARG,AT,Juventus,26-191,1998,4,3,225,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,7,23,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,https://fbref.com/fr/joueurs/2374aaca/Nicolas-Gonzalez
Robin Gosens,GER,DF,Fiorentina,30-101,1994,5,5,447,5.0,1,2,3,1,0,0,1,0,0.7,0.7,1.1,1.8,4,28,11,0.20,0.40,0.60,0.20,0.60,0.14,0.22,0.36,0.14,0.36,https://fbref.com/fr/joueurs/2d970560/Robin-Gosens
Alberto Grassi,ITA,MT,Empoli,29-221,1995,5,5,388,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,13,2,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,https://fbref.com/fr/joueurs/6cc97b6a/Alberto-Grassi
Mattéo Guendouzi,FRA,MT,Lazio,25-183,1999,7,7,626,7.0,1,0,1,1,0,0,2,0,0.3,0.3,1.1,1.4,14,58,12,0.14,0.00,0.14,0.14,0.14,0.04,0.16,0.20,0.04,0.20,https://fbref.com/fr/joueurs/5ea8ef20/Matteo-Guendouzi
