Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Kingsley Coman,FRA,"AT,MT",Bayern Munich,28-123,1996,6,2,228,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,15,7,33,0.00,0.39,0.39,0.00,0.39,0.12,0.17,0.29,0.12,0.29,https://fbref.com/fr/joueurs/042e8a49/Kingsley-Coman
Sirlord Conteh,GER,"AT,DF",Heidenheim,28-097,1996,5,0,150,1.7,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.1,7,5,16,0.00,0.60,0.60,0.00,0.60,0.00,0.67,0.67,0.00,0.67,https://fbref.com/fr/joueurs/34e09d5f/Sirlord-Conteh
Yan Couto,BRA,DF,Dortmund,22-133,2002,4,2,236,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.4,11,15,25,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.14,0.01,0.14,https://fbref.com/fr/joueurs/1944818c/Yan-Couto
Tomáš Čvančara,CZE,"AT,MT",Gladbach,24-062,2000,6,1,142,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,4,3,8,0.63,0.00,0.63,0.63,0.63,0.20,0.07,0.28,0.20,0.28,https://fbref.com/fr/joueurs/298c8aa1/Tomas-Cvancara
Mahmoud Dahoud,GER,MT,Eint Frankfurt,28-287,1996,3,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/db4ed67b/Mahmoud-Dahoud
Bence Dárdai,GER,AT,Wolfsburg,18-264,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80,https://fbref.com/fr/joueurs/dcb6f03c/Bence-Dardai
Lukas Daschner,GER,"MT,AT",Bochum,26-013,1998,5,2,207,2.3,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,3,4,5,0.43,0.00,0.43,0.43,0.43,0.27,0.23,0.50,0.27,0.50,https://fbref.com/fr/joueurs/93a8c4f9/Lukas-Daschner
Alphonso Davies,CAN,DF,Bayern Munich,23-347,2000,5,4,387,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,16,31,36,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.12,0.06,0.12,https://fbref.com/fr/joueurs/d781d855/Alphonso-Davies
Olivier Deman,BEL,DF,Werder Bremen,24-191,2000,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.31,0.00,0.31,https://fbref.com/fr/joueurs/13210854/Olivier-Deman
Ermedin Demirović,BIH,AT,Stuttgart,26-203,1998,6,4,350,3.9,5,0,5,5,0,1,0,0,2.4,1.5,0.3,1.8,1,8,18,1.29,0.00,1.29,1.29,1.29,0.62,0.09,0.71,0.38,0.47,https://fbref.com/fr/joueurs/ed79b7d3/Ermedin-Demirovic
Justin Diehl,GER,DF,Stuttgart,19-322,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,0,9,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,https://fbref.com/fr/joueurs/d82a310a/Justin-Diehl
Eric Dier,ENG,DF,Bayern Munich,30-273,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/ac861941/Eric-Dier
Junior Dina Ebimbe,FRA,"AT,MT",Eint Frankfurt,23-328,2000,3,1,113,1.3,0,1,1,0,0,0,0,0,0.6,0.6,0.9,1.6,0,2,11,0.00,0.80,0.80,0.00,0.80,0.50,0.75,1.26,0.50,1.26,https://fbref.com/fr/joueurs/95bb6ddc/Junior-Dina-Ebimbe
Eren Dinkçi,GER,MT,Freiburg,22-306,2001,5,3,252,2.8,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.9,7,10,26,0.00,0.36,0.36,0.00,0.36,0.16,0.17,0.33,0.16,0.33,https://fbref.com/fr/joueurs/4ccd8957/Eren-Dinkci
Ritsu Doan,JPN,AT,Freiburg,26-120,1998,6,6,501,5.6,3,0,3,3,0,0,0,0,2.5,2.5,0.0,2.6,13,28,36,0.54,0.00,0.54,0.54,0.54,0.45,0.01,0.46,0.45,0.46,https://fbref.com/fr/joueurs/d01bbb6f/Ritsu-Doan
Danilho Doekhi,NED,DF,Union Berlin,26-106,1998,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/f67c9d29/Danilho-Doekhi
Niklas Dorsch,GER,MT,Augsburg,26-273,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7f73bdf4/Niklas-Dorsch
Niklas Dorsch,GER,MT,Heidenheim,26-273,1998,3,1,122,1.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,https://fbref.com/fr/joueurs/7f73bdf4/Niklas-Dorsch
Patrick Drewes,GER,GB,Bochum,31-253,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/a8403737/Patrick-Drewes
Tim Drexler,GER,DF,Hoffenheim,19-222,2005,6,5,333,3.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,https://fbref.com/fr/joueurs/0911b4fc/Tim-Drexler
Marvin Ducksch,GER,AT,Werder Bremen,30-221,1994,6,6,457,5.1,1,1,2,0,1,1,0,0,2.4,1.6,0.9,2.5,1,17,40,0.20,0.20,0.39,0.00,0.20,0.48,0.17,0.65,0.32,0.50,https://fbref.com/fr/joueurs/638a4d71/Marvin-Ducksch
Julien Duranville,BEL,AT,Dortmund,18-162,2006,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,1,3,0.00,0.00,0.00,0.00,0.00,0.09,1.15,1.25,0.09,1.25,https://fbref.com/fr/joueurs/b06a7ae9/Julien-Duranville
Adam Dźwigała,POL,"DF,MT",St. Pauli,29-019,1995,4,0,89,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,https://fbref.com/fr/joueurs/75edc8ce/Adam-Dzwigala
