Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Ibe Hautekiet,BEL,DF,Standard Liège,22-203,2002,9.3,4,0,0,12,5,0,1,17,12,0,0,0,34,14,9,60.9
Ewan Henderson,SCO,MF,Beerschot,24-220,2000,6.1,0,0,0,4,9,1,7,3,5,0,0,0,13,6,3,66.7
Lennard Hens,BEL,MF,Dender,28-268,1996,6.8,0,0,0,10,8,0,50,11,11,0,0,0,40,7,12,36.8
Daan Heymans,BEL,MF,Charleroi,25-140,1999,11.5,4,0,0,16,4,4,10,5,14,0,0,0,48,49,36,57.6
Bryan Heynen,BEL,MF,Genk,27-270,1997,8.1,0,0,0,5,8,0,2,11,11,0,0,0,37,17,12,58.6
David Hrnčár,SVK,"DF,MF",Dender,26-328,1997,7.5,0,0,0,3,2,0,30,10,6,0,0,0,32,12,8,60.0
Patrik Hrošovský,SVK,MF,Genk,32-194,1992,8.8,2,0,0,6,8,1,13,3,5,0,0,0,38,3,2,60.0
Dean Huiberts,NED,MF,Beerschot,24-170,2000,2.2,0,0,0,5,0,0,1,2,2,0,0,0,7,0,4,0.0
Oh Hyeon-gyu,KOR,FW,Genk,23-204,2001,1.5,1,0,0,1,4,0,1,0,1,0,0,0,4,8,9,47.1
Hong Hyunseok,KOR,MF,Gent,25-139,1999,2.8,0,0,0,0,5,0,14,1,2,0,0,0,8,1,1,50.0
Mounaim El Idrissy,FRA,"DF,FW",Kortrijk,25-266,1999,3.4,4,0,0,8,12,2,8,4,7,0,0,0,22,4,10,28.6
Chukwubuikem Ikwuemesi,NGA,FW,OH Leuven,23-089,2001,4.1,0,0,0,13,9,2,2,1,1,0,0,1,5,9,17,34.6
Atsuki Ito,JPN,MF,Gent,26-083,1998,5.6,4,0,0,10,2,0,7,9,11,0,0,0,22,7,6,53.8
Ryotaro Ito,JPN,MF,Sint-Truiden,26-270,1998,8.2,0,0,0,0,8,0,31,2,7,0,0,0,41,0,5,0.0
Franjo Ivanović,CRO,FW,Union SG,21-032,2003,4.7,2,0,0,7,3,1,4,0,2,0,0,0,15,3,7,30.0
Vincent Janssen,NED,FW,Antwerp,30-140,1994,11.8,3,0,0,22,22,9,6,5,17,0,0,0,28,18,20,47.4
Wolke Janssens,BEL,DF,Sint-Truiden,29-296,1995,1.0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,1,75.0
Ardon Jashari,SUI,MF,Club Brugge,22-095,2002,5.1,1,0,0,8,9,0,14,5,6,0,0,0,35,3,2,60.0
Edisson Jordanov,BUL,DF,Westerlo,31-147,1993,0.8,0,0,0,2,3,0,4,2,1,0,0,0,3,1,0,100.0
Ferran Jutglà,ESP,"FW,MF",Club Brugge,25-275,1999,3.2,1,0,0,2,5,1,5,0,2,0,0,0,11,5,9,35.7
Mathias Jørgensen,DEN,DF,Anderlecht,34-193,1990,8.0,2,0,0,12,3,0,0,8,5,0,2,0,31,12,19,38.7
Elton Kabangu,BEL,"FW,MF",Union SG,26-268,1998,1.4,0,0,0,3,2,2,2,0,0,0,0,0,4,0,2,0.0
Abdelkahar Kadri,ALG,MF,Kortrijk,24-131,2000,8.3,5,0,0,6,13,1,51,9,13,0,0,0,45,0,11,0.0
Emmanuel Kakou,CIV,DF,Cercle Brugge,19-125,2005,6.0,1,0,0,7,9,0,4,9,4,0,0,0,34,16,19,45.7
Ismaël Kandouss,MAR,MF,Gent,26-356,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Takuro Kaneko,JPN,"MF,FW",Kortrijk,27-095,1997,7.5,2,0,0,7,6,2,50,6,10,0,0,0,29,8,12,40.0
Konstantinos Karetsas,BEL,MF,Genk,16-349,2007,5.0,1,0,0,9,10,1,42,0,4,0,0,0,32,0,7,0.0
Joris Kayembe,COD,"DF,MF",Genk,30-086,1994,11.9,2,0,0,12,12,1,32,18,14,0,0,0,69,11,8,57.9
Charly Keita,FRA,FW,Beerschot,25-139,1999,6.4,1,0,0,11,11,2,1,1,0,0,0,0,8,23,22,51.1
Check Keita,FRA,DF,Charleroi,21-214,2003,5.6,2,0,0,4,2,2,1,4,9,0,0,0,24,10,8,55.6
Mandela Keita,BEL,"MF,DF",Antwerp,22-176,2002,2.6,0,0,0,4,5,0,0,5,3,0,0,0,18,2,1,66.7
Gyrano Kerk,SUR,"FW,MF",Antwerp,28-336,1995,9.0,0,0,0,15,9,7,16,2,9,0,0,0,38,13,13,50.0
Anan Khalaili,ISR,"DF,FW",Union SG,20-060,2004,2.8,2,0,0,2,1,1,8,3,4,0,0,0,8,1,1,50.0
Bilal El Khannouss,MAR,MF,Genk,20-176,2004,0.8,0,0,0,0,0,0,4,0,1,0,0,0,2,2,0,100.0
Leo Kokubo,JPN,GK,Sint-Truiden,23-284,2001,9.0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,100.0
Mory Konaté,GUI,MF,Mechelen,30-353,1993,1.0,1,0,0,2,1,0,0,0,0,0,0,0,4,1,1,50.0
Mohamed Koné,CIV,GK,Charleroi,22-240,2002,11.0,1,0,0,1,1,0,0,0,0,0,0,1,21,5,0,100.0
Josué Kongolo,BEL,DF,Genk,18-203,2006,0.8,0,0,0,2,0,0,0,2,3,0,0,0,7,0,0,
Tolis Konstantopoulos,GRE,DF,Beerschot,22-092,2002,8.7,3,0,0,10,12,0,4,15,17,0,1,0,19,11,11,50.0
Ayouba Kosiah,LBR,"FW,DF",Beerschot,23-103,2001,2.3,2,0,0,10,3,7,0,0,2,1,0,0,3,6,11,35.3
Florian Krüger,GER,"FW,MF",Beerschot,25-263,1999,1.3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0
Léandre Kuavita,BEL,MF,Standard Liège,20-155,2004,7.0,0,0,0,4,6,0,3,5,4,1,0,0,20,12,14,46.2
Sven Kums,BEL,MF,Gent,36-250,1988,4.0,1,0,0,5,3,0,16,2,4,0,0,0,24,1,4,20.0
Hasan Kuruçay,,DF,OH Leuven,27-063,1997,3.5,0,0,0,1,2,0,0,2,3,0,0,0,7,3,3,50.0
Roman Květ,CZE,"MF,FW",Dender,26-321,1997,8.2,0,0,0,8,14,2,5,7,7,0,0,0,45,7,2,77.8
Grejohn Kyei,FRA,FW,Charleroi,29-082,1995,3.7,0,0,0,8,3,2,3,0,1,0,0,0,8,10,8,55.6
Grejohn Kyei,FRA,"FW,MF",Standard Liège,29-082,1995,2.4,0,0,0,7,1,2,0,0,1,0,0,0,8,5,8,38.5
Bram Lagae,BEL,DF,Kortrijk,20-293,2004,8.0,1,0,0,12,4,0,4,6,7,0,0,0,23,13,7,65.0
Hugo Lambotte,BEL,MF,Sint-Truiden,18-135,2006,0.4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0.0
Senne Lammens,BEL,GK,Antwerp,22-118,2002,12.0,0,0,0,1,2,0,0,0,0,0,1,1,13,5,0,100.0
Lion Lauberbach,GER,FW,Mechelen,26-261,1998,7.3,2,0,0,6,11,5,6,0,1,1,0,0,15,16,20,44.4
