Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Edenílson,BRA,"MF,FW",Grêmio,34-304,1989,11.3,3,0,0,13,22,3,13,7,5,0,0,0,39,13,19,40.6
Éder,ITA,FW,Criciúma,37-337,1986,8.5,5,0,0,5,9,3,16,1,4,0,0,0,26,4,16,20.0
EDU,BRA,DF,Vitória,24-123,2000,2.0,1,0,0,0,1,0,0,1,2,0,0,0,7,4,3,57.1
Carlos Eduardo,BRA,"FW,MF",Vitória,28-007,1996,5.1,1,0,0,7,13,4,5,1,13,1,1,0,20,12,13,48.0
Carlos Eduardo,BRA,"FW,MF",Atlético Mineiro,20-146,2004,11.2,1,0,0,26,26,3,9,9,19,0,0,0,29,18,29,38.3
Carlos Eduardo,BRA,"FW,MF",Botafogo (RJ),35-000,1989,6.8,1,0,0,9,9,1,8,6,3,0,0,0,13,7,11,38.9
Alysson Edward,BRA,"MF,FW",Grêmio,18-165,2006,0.5,0,0,0,4,5,0,1,0,1,0,0,0,2,1,1,50.0
Eli,BRA,FW,Atl Goianiense,20-208,2004,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Kauã Elias,BRA,FW,Fluminense,18-203,2006,10.4,2,0,0,12,7,2,2,3,7,0,0,0,46,13,52,20.0
Rafael Elias,BRA,FW,Cruzeiro,25-188,1999,1.1,2,0,0,4,2,1,0,0,0,0,0,0,3,1,2,33.3
Eliédson,BRA,MF,Criciúma,21-214,2003,0.3,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,
Rodrigo Ely,BRA,DF,Grêmio,30-349,1993,13.9,4,0,0,11,10,1,0,18,18,0,1,0,30,60,22,73.2
Emersonn,BRA,"FW,MF",Ath Paranaense,20-093,2004,1.8,0,0,0,1,1,0,3,1,1,0,0,0,7,6,6,50.0
Leandro Emmanuel Martínez,ARG,"MF,FW",Fortaleza,30-135,1994,5.8,3,0,0,7,13,1,18,2,7,0,0,0,32,3,5,37.5
Alan Empereur,BRA,DF,Cuiabá,30-221,1994,23.8,8,0,0,12,13,0,10,21,13,0,0,0,84,38,36,51.4
Endrick,BRA,"MF,FW",Palmeiras,18-088,2006,5.0,3,0,0,13,18,0,3,0,2,1,0,0,16,3,6,33.3
Erick,BRA,"MF,DF",Ath Paranaense,26-338,1997,20.9,1,0,0,28,23,1,6,33,26,0,0,0,77,36,39,48.0
Erick,BRA,"FW,MF",São Paulo,26-312,1997,5.7,3,0,0,11,12,0,25,4,5,0,1,0,21,2,4,33.3
Erick,BRA,FW,Juventude,27-288,1997,19.1,1,0,0,12,11,5,17,11,15,0,0,0,56,15,23,39.5
Esquerdinha,BRA,"DF,FW",Fluminense,18-232,2006,1.4,0,0,0,1,1,0,10,0,0,0,0,0,3,0,3,0.0
Lucas Esquivel,ARG,DF,Ath Paranaense,23-003,2001,20.6,5,1,1,23,18,0,99,25,34,0,0,0,98,24,12,66.7
Estevão,BRA,FW,Palmeiras,18-176,2006,15.7,2,0,0,20,20,4,45,6,18,1,0,0,74,9,16,36.0
Lucas Esteves,BRA,"DF,MF",Vitória,24-115,2000,24.6,8,0,0,29,21,7,90,22,32,1,0,0,100,44,26,62.9
