Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Leo Ortiz,BRA,"MF,DF",Flamengo,28-288,1996,19,"1,367",72,54.2,15.2,15,86,9,4,21,8,1.79,20,14,+6,+0.40,-0.15,19.2,17.2,+2.0,+0.13,-0.31
Osvaldo,BRA,"MF,FW",Vitória,37-189,1987,19,"1,072",56,41.1,11.9,17,59,0,2,32,3,1.00,13,13,0,0.00,+0.70,12.9,12.6,+0.3,+0.03,+0.31
Otávio,BRA,MF,Atlético Mineiro,30-166,1994,18,"1,432",80,54.9,15.9,17,84,13,1,2,1,1.56,22,21,+1,+0.06,+0.22,20.1,16.4,+3.7,+0.23,+0.29
Luis Otávio,BRA,MF,Internacional,17-188,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,
Luis Oyama,BRA,MF,Juventude,27-261,1997,15,584,39,22.4,6.5,5,74,2,10,21,9,0.87,8,9,-1,-0.15,+0.07,8.2,12.4,-4.2,-0.65,-0.11
Pablo,BRA,"FW,MF",Ath Paranaense,32-116,1992,19,980,52,40.3,10.9,10,75,2,9,26,1,1.47,14,10,+4,+0.37,+0.86,14.9,11.5,+3.4,+0.32,+0.50
Pablo,BRA,GK,Vasco da Gama,21-249,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Pablo,BRA,DF,Botafogo (RJ),33-118,1991,1,29,29,1.1,0.3,0,,0,1,29,1,3.00,1,0,+1,+3.10,+2.37,0.1,0.0,+0.1,+0.51,+0.15
Juan Pablo,BRA,DF,Cuiabá,22-175,2002,3,251,84,10.0,2.8,3,84,2,0,,17,0.33,2,8,-6,-2.15,-1.83,2.5,5.4,-2.9,-1.06,-0.80
Ruan Pablo,BRA,MF,Bahia,16-086,2008,1,6,6,0.2,0.1,0,,0,1,6,2,1.00,1,0,+1,+15.00,+14.83,0.5,0.1,+0.5,+7.22,+7.01
Bruno Pacheco,BRA,DF,Fortaleza,32-314,1991,18,"1,144",64,42.4,12.7,12,87,11,6,16,9,1.78,14,17,-3,-0.24,-0.93,11.5,17.4,-5.9,-0.46,-0.75
Brahian Palacios,COL,"DF,FW",Atlético Mineiro,21-328,2002,17,696,41,26.7,7.7,7,72,0,10,19,9,1.41,14,13,+1,+0.13,+0.22,11.2,10.5,+0.7,+0.09,-0.02
Diego Palacios,ECU,DF,Corinthians,25-097,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
Helibelton Palacios,COL,DF,Cruzeiro,31-128,1993,1,87,87,3.3,1.0,1,87,0,0,,8,0.00,0,1,-1,-1.03,-1.28,1.1,1.5,-0.4,-0.44,-0.36
