Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Felipe Augusto,BRA,"FW,MF",Corinthians,18,2004,3.6,56,48,8,0,0,0,1,0,0,0,0,0,35,0,1
Filipe Augusto,BRA,MF,Cuiabá,29,1993,11.8,799,747,50,27,1,10,35,0,23,9,9,0,696,2,5
Renato Augusto,BRA,MF,Corinthians,34,1988,14.2,757,679,72,21,4,11,57,6,30,14,15,0,618,6,11
Danilo Avelar,BRA,DF,América (MG),33,1989,22.0,889,776,107,23,1,4,19,83,0,0,0,0,613,6,15
Felipe Azevedo,BRA,"FW,MF",América (MG),36,1987,19.4,497,472,22,6,0,5,29,6,9,3,1,0,325,3,21
Matheus Babi,BRA,FW,Goiás,25,1997,9.8,177,157,20,0,0,3,1,0,0,0,0,0,124,0,6
Matheus Bahia,BRA,"DF,MF",Bahia,23,1999,5.8,269,216,52,3,1,2,20,48,1,0,0,0,186,1,10
Fabián Balbuena,PAR,DF,Corinthians,31,1991,1.0,60,52,8,6,0,0,0,0,0,0,0,0,48,0,0
Robson Bambu,BRA,DF,Vasco da Gama,25,1997,14.2,696,616,79,26,1,1,11,53,0,0,0,0,567,1,15
Gabriel Baralhas,BRA,MF,Internacional,24,1998,2.6,143,135,8,7,0,0,1,0,0,0,0,0,118,0,2
Danilo Barbosa,BRA,"MF,DF",Botafogo (RJ),26,1996,11.2,480,446,31,20,1,2,3,11,0,0,0,0,381,3,9
Diogo Barbosa,BRA,DF,Fluminense,30,1992,12.4,721,603,114,6,2,2,22,106,2,1,0,0,620,4,17
Diogo Barbosa,BRA,DF,Grêmio,30,1992,4.3,210,163,46,5,0,0,5,40,1,0,0,0,156,1,6
Gabriel Barbosa,BRA,FW,Flamengo,26,1996,17.1,534,455,75,8,1,6,25,8,26,8,2,1,427,4,12
Lucas Barbosa,BRA,"FW,MF",Santos,21,2001,1.1,40,40,0,0,0,1,2,0,0,0,0,0,16,0,0
Lucas Barbosa,BRA,"MF,FW",Coritiba,21,2001,1.1,46,43,3,2,0,0,1,1,0,0,0,0,34,0,2
Chrystian Barletta,BRA,"FW,MF",Corinthians,21,2001,1.4,34,34,0,0,1,0,2,0,0,0,0,0,19,0,3
Cauan Barros,BRA,MF,Vasco da Gama,18,2004,2.6,83,80,3,2,0,0,1,0,0,0,0,0,72,0,0
Gabriel Barros,BRA,"FW,MF",Internacional,21,2001,2.0,78,78,0,0,0,0,3,0,0,0,0,0,68,0,2
Bastos,ANG,DF,Botafogo (RJ),31,1991,1.3,71,68,3,2,0,0,1,1,0,0,0,0,62,0,1
Fellipe Bastos,BRA,MF,Goiás,32,1990,0.4,14,10,4,4,0,0,2,0,0,0,0,0,12,0,0
Diogo Batista,BRA,"DF,MF",Coritiba,19,2003,5.9,277,222,54,8,0,3,14,44,2,1,1,0,201,1,6
Rodrigo Battaglia,ARG,MF,Atlético Mineiro,31,1991,19.2,977,921,54,52,0,5,7,1,0,0,0,0,855,2,12
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,25,1997,22.2,1200,906,289,47,0,11,140,216,26,18,4,0,802,5,32
Matheus Belém,BRA,DF,São Paulo,19,2003,1.9,89,87,2,2,0,0,1,0,0,0,0,0,73,0,1
Lucas Belezi,BRA,DF,Ath Paranaense,19,2003,0.5,20,19,1,1,0,0,1,0,0,0,0,0,15,0,0
Ramiro Benetti,BRA,MF,Cruzeiro,29,1993,4.5,250,241,9,3,0,2,4,5,0,0,0,0,211,0,6
Martín Benítez,ARG,"MF,FW",América (MG),28,1994,12.4,561,470,88,41,7,12,51,7,32,9,17,1,386,3,13
Bento,BRA,GK,Ath Paranaense,23,1999,33.0,886,517,362,72,1,0,0,0,0,0,0,0,580,7,1
Lucas Beraldo,BRA,DF,São Paulo,19,2003,24.0,1694,1625,69,65,1,11,2,4,0,0,0,0,1502,0,10
Lucas Besozzi,ARG,"FW,MF",Grêmio,20,2003,4.4,195,193,0,0,2,0,12,0,0,0,0,0,149,2,8
Matheus Bianqui,BRA,MF,Coritiba,25,1998,15.8,466,448,17,10,2,9,9,6,0,0,0,0,329,1,18
Raul Bicalho,BRA,DF,Bahia,23,1999,3.6,197,190,7,5,0,4,0,2,0,0,0,0,165,0,0
Matheus Bidu,BRA,DF,Corinthians,23,1999,18.4,1128,903,221,37,0,5,105,154,30,3,27,0,896,4,24
Biel,BRA,"FW,MF",Bahia,21,2001,15.1,404,355,49,9,5,4,51,5,35,13,19,0,292,0,10
Rafael Bilu,BRA,FW,Cruzeiro,23,1999,1.0,36,35,0,0,0,1,1,0,0,0,0,0,29,1,2
Biro,BRA,"FW,MF",Corinthians,18,2004,6.4,213,212,1,1,0,0,13,0,0,0,0,0,173,0,9
Bitelo,BRA,"MF,FW",Grêmio,23,2000,17.2,820,769,46,21,7,3,35,10,15,1,8,0,660,5,19
Paulinho Bóia,BRA,FW,América (MG),24,1998,1.5,50,50,0,0,0,0,4,0,0,0,0,0,39,0,1
Thiago Borbas,URU,FW,Red Bull Bragantino,20,2002,15.9,353,346,7,1,1,1,15,1,0,0,0,0,233,0,9
Daniel Borges,BRA,DF,América (MG),29,1993,8.9,494,407,87,12,0,8,44,75,0,0,0,0,381,0,9
Daniel Borges,BRA,DF,Botafogo (RJ),29,1993,0.5,14,12,2,0,0,0,2,2,0,0,0,0,10,0,0
Marllon Borges,BRA,DF,Cuiabá,30,1992,36.0,1464,1385,78,76,0,9,1,2,0,0,0,0,1265,1,18
Pedro Borges,BRA,"MF,FW",Fortaleza,25,1997,6.3,259,255,4,4,1,4,1,0,0,0,0,0,219,0,1
