Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Pablo Ceppelini,URU,MF,Cuiabá,31,1991,11.1,51,4.61,19,27,1,3,1,0,3,0.27,0,3,0,0,0,0
Murilo Cerqueira,BRA,DF,Palmeiras,25,1997,24.1,26,1.08,21,0,1,2,0,2,3,0.12,3,0,0,0,0,0
Ricardo Cerqueira,BRA,MF,Cuiabá,20,2002,0.1,1,11.25,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Júlio César,BRA,DF,América (MG),19,2003,6.6,4,0.61,3,0,1,0,0,0,2,0.30,1,0,1,0,0,0
Reynaldo Cesar Moraes,BRA,DF,Cruzeiro,26,1997,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Reynaldo Cesar Moraes,BRA,DF,Coritiba,26,1997,2.7,1,0.37,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kayky Chagas,BRA,"FW,MF",Bahia,19,2003,4.6,14,3.07,7,3,3,1,0,0,2,0.44,1,0,1,0,0,0
Jhon Chancellor,VEN,DF,Coritiba,31,1992,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gabriel Chapecó,BRA,GK,Grêmio,22,2000,31.0,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Gabriel Chaves,BRA,"FW,MF",Vasco da Gama,21,2001,29.0,84,2.90,46,10,11,5,12,0,8,0.28,4,1,1,0,2,0
Jhoanner Chávez,ECU,"DF,MF",Bahia,20,2002,6.5,18,2.75,17,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Chiqueti,BRA,MF,Ath Paranaense,17,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian,BRA,"MF,FW",Ath Paranaense,22,2000,15.1,49,3.24,28,5,5,5,2,4,1,0.07,1,0,0,0,0,0
Cicinho,BUL,DF,Bahia,34,1988,8.4,15,1.80,11,2,1,0,1,0,0,0.00,0,0,0,0,0,0
Cipriano,BRA,DF,Red Bull Bragantino,20,2002,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcelo Cirino,BRA,"FW,MF",Ath Paranaense,31,1992,1.1,1,0.88,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Léo Cittadini,BRA,MF,Bahia,28,1994,1.5,3,1.91,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Léo Cittadini,BRA,"MF,FW",Ath Paranaense,28,1994,2.2,6,2.69,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Mateus Claus,BRA,GK,Bahia,28,1994,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Clayson,BRA,"FW,MF",Cuiabá,27,1995,18.2,62,3.41,29,15,4,4,8,2,5,0.27,2,1,0,0,1,1
Mateus Cocão,BRA,MF,Vasco da Gama,20,2002,3.9,11,2.85,10,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Diego Costa,ESP,FW,Botafogo (RJ),34,1988,5.7,12,2.09,7,0,1,1,3,0,2,0.35,1,0,0,1,0,0
Philippe Costa,BRA,FW,Goiás,22,2000,1.2,5,4.13,2,0,1,2,0,0,0,0.00,0,0,0,0,0,0
Talles Costa,BRA,"MF,FW",São Paulo,20,2002,1.5,7,4.67,4,0,1,1,1,0,0,0.00,0,0,0,0,0,0
Lucas Crispim,BRA,"MF,DF",Fortaleza,28,1994,5.4,26,4.80,23,2,0,0,1,0,1,0.18,0,0,0,0,1,0
Franco Cristaldo,ARG,"MF,FW",Grêmio,26,1996,23.7,98,4.14,62,28,1,2,5,0,12,0.51,7,3,0,1,1,0
Tomás Cuello,ARG,"MF,FW",Ath Paranaense,22,2000,22.8,77,3.37,46,7,10,2,7,5,8,0.35,7,0,0,0,1,0
Víctor Cuesta,ARG,DF,Botafogo (RJ),34,1988,35.0,26,0.74,23,0,0,2,0,1,2,0.06,1,0,0,1,0,0
Cuiabano,BRA,"DF,MF",Grêmio,19,2003,5.4,13,2.39,9,1,1,1,1,0,0,0.00,0,0,0,0,0,0
Lucas Cunha,BRA,DF,Red Bull Bragantino,26,1997,0.8,2,2.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matheus Cunha,BRA,GK,Flamengo,21,2001,17.6,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ian Custódio,BRA,DF,Palmeiras,19,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Dalla Corte,BRA,DF,Internacional,16,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danielzinho,BRA,"FW,MF",Bahia,27,1996,0.9,9,10.13,8,0,0,1,0,0,1,1.13,0,0,0,1,0,0
