Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Mikel Merino,ESP,MF,Real Sociedad,27,1996,7.0,15,8,8,4,3,6,13,46.2,7,8,1,7,4,19,15,0
Dries Mertens,BEL,MF,Galatasaray,36,1987,2.2,0,0,0,0,0,0,1,0.0,1,6,0,6,2,2,2,0
Alexander Meyer,GER,GK,Dortmund,32,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Srđan Mijailović,SRB,"DF,MF",Red Star,29,1993,5.4,14,5,3,9,2,7,17,41.2,10,14,9,5,6,20,9,0
Jovan Mijatović,SRB,"FW,MF",Red Star,18,2005,1.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Antoni Milambo,NED,"DF,MF",Feyenoord,18,2005,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Lewis Miley,ENG,MF,Newcastle Utd,17,2006,1.9,3,1,1,2,0,2,8,25.0,6,5,3,2,2,5,8,0
Éder Militão,BRA,DF,Real Madrid,25,1998,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,0
Kim Min-jae,KOR,DF,Bayern Munich,26,1996,7.3,10,5,7,3,0,2,6,33.3,4,13,8,5,17,27,24,0
Yankuba Minteh,GAM,FW,Feyenoord,19,2004,2.2,9,8,3,4,2,6,10,60.0,4,1,0,1,1,10,0,0
Rafa Mir,ESP,FW,Sevilla,26,1997,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Stefan Mitrović,SRB,"DF,FW",Red Star,20,2002,2.3,0,0,0,0,0,0,1,0.0,1,5,3,2,1,1,1,0
Henrikh Mkhitaryan,ARM,MF,Inter,34,1989,5.7,10,5,5,5,0,3,8,37.5,5,10,3,7,8,18,10,0
Luka Modrić,CRO,MF,Real Madrid,37,1985,4.7,6,6,3,2,1,4,6,66.7,2,0,0,0,5,11,6,1
Nahuel Molina,ARG,DF,Atlético Madrid,25,1998,8.7,24,15,15,7,2,18,30,60.0,12,20,2,18,7,31,16,0
Joel Monteiro,SUI,"FW,MF",Young Boys,23,1999,2.9,8,4,1,6,1,4,8,50.0,4,1,0,1,3,11,3,0
Álvaro Morata,ESP,FW,Atlético Madrid,30,1992,7.4,5,3,2,1,2,2,4,50.0,2,6,1,5,0,5,9,0
Morato,BRA,DF,Benfica,22,2001,4.8,15,10,9,6,0,13,19,68.4,6,8,3,5,6,21,17,0
Leandro Morgalla,GER,DF,RB Salzburg,18,2004,0.5,0,0,0,0,0,0,0,,0,3,1,2,0,0,0,0
Youssoufa Moukoko,GER,FW,Dortmund,18,2004,0.2,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0
Mason Mount,ENG,"MF,FW",Manchester Utd,24,1999,1.0,2,1,1,0,1,0,0,,0,0,0,0,1,3,0,0
João Moutinho,POR,MF,Braga,36,1986,3.2,8,4,2,5,1,4,10,40.0,6,4,1,3,7,15,1,0
Arbnor Muja,ALB,FW,Antwerp,24,1998,4.0,5,3,3,0,2,1,6,16.7,5,4,0,4,0,5,1,0
Nordi Mukiele,FRA,DF,Paris S-G,25,1997,0.6,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0
Thomas Müller,GER,MF,Bayern Munich,33,1989,4.7,5,4,2,2,1,3,9,33.3,6,6,0,6,1,6,4,0
Aihen Muñoz,ESP,DF,Real Sociedad,25,1997,5.3,13,9,7,4,2,7,10,70.0,3,7,3,4,3,16,16,0
Jacob Murphy,ENG,FW,Newcastle Utd,28,1995,1.0,2,2,1,0,1,1,2,50.0,1,1,1,0,0,2,1,0
Petar Musa,CRO,"FW,MF",Benfica,25,1998,2.6,6,3,1,5,0,1,3,33.3,2,2,0,2,1,7,2,0
Yunus Musah,USA,MF,Milan,20,2002,3.9,6,3,2,3,1,2,2,100.0,0,4,2,2,2,8,3,0
Jamal Musiala,GER,"MF,FW",Bayern Munich,20,2003,9.7,12,10,4,7,1,8,17,47.1,9,11,1,10,12,24,0,0
Fernando Muslera,URU,GK,Galatasaray,37,1986,6.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,9,0
Almoatasem Al Musrati,LBY,MF,Braga,27,1996,3.4,9,7,4,4,1,3,8,37.5,5,2,0,2,8,17,6,0
Nacho,ESP,DF,Real Madrid,33,1990,10.9,10,8,6,4,0,3,8,37.5,5,4,3,1,10,20,32,0
Natan,BRA,DF,Napoli,22,2001,5.0,10,6,7,2,1,6,9,66.7,3,14,11,3,5,15,20,0
Fran Navarro,ESP,FW,Porto,25,1998,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Jesús Navas,ESP,DF,Sevilla,37,1985,2.4,8,7,4,3,1,2,2,100.0,0,3,1,2,2,10,9,0
Yehor Nazaryna,UKR,MF,Shakhtar,26,1997,2.3,4,3,1,2,1,3,6,50.0,3,3,1,2,2,6,5,0
Cherif Ndiaye,SEN,FW,Red Star,27,1996,4.0,4,2,1,1,2,1,2,50.0,1,2,0,2,1,5,6,0
Tanguy Ndombele,FRA,MF,Galatasaray,26,1996,1.0,3,3,0,3,0,1,2,50.0,1,1,0,1,0,3,1,0
Kosta Nedeljković,SRB,DF,Red Star,17,2005,2.6,4,2,2,1,1,1,5,20.0,4,5,1,4,1,5,2,0
Reiss Nelson,ENG,FW,Arsenal,23,1999,2.0,6,3,0,3,3,4,6,66.7,2,1,0,1,1,7,0,0
Victor Nelsson,DEN,DF,Galatasaray,24,1998,1.1,3,1,3,0,0,3,3,100.0,0,1,1,0,0,3,6,1
David Neres,BRA,FW,Benfica,26,1997,2.0,2,2,1,1,0,0,3,0.0,3,3,0,3,1,3,2,0
Manuel Neuer,GER,GK,Bayern Munich,37,1986,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
João Neves,POR,MF,Benfica,18,2004,6.0,24,18,14,7,3,12,20,60.0,8,8,2,6,10,34,10,0
Newerton,BRA,"MF,FW",Shakhtar,18,2005,2.4,5,3,1,0,4,3,10,30.0,7,3,1,2,0,5,2,0
Cyril Ngonge,BEL,FW,Napoli,23,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sikou Niakaté,MLI,DF,Braga,24,1999,4.3,6,3,5,1,0,4,6,66.7,2,8,8,0,5,11,22,0
Tanguy Nianzou,FRA,DF,Sevilla,21,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Cheikh Niasse,SEN,MF,Young Boys,23,2000,5.9,6,5,1,2,3,1,7,14.3,6,15,6,9,17,23,4,0
