Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Matías Vecino,MF,Uruguay,30,1991,2.2,76,106,71.7,1189,296,42,54,77.8,23,33,69.7,8,8,100.0,0,0.0,0.0,0.0,0,8,0,0,9
Alexis Vega,FW,Mexico,24,1997,2.1,40,56,71.4,658,208,23,26,88.5,12,18,66.7,4,8,50.0,0,0.1,0.1,-0.1,1,3,0,0,6
Miloš Veljković,DF,Serbia,26,1995,2.5,98,112,87.5,2106,647,18,20,90.0,68,70,97.1,11,17,64.7,0,0.0,0.0,0.0,0,1,0,0,5
Johan Venegas,"FW,MF",Costa Rica,33,1988,0.8,11,14,78.6,143,13,10,11,90.9,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Jordan Veretout,MF,France,29,1993,0.7,33,36,91.7,609,139,13,15,86.7,16,16,100.0,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,2
Jan Vertonghen,DF,Belgium,35,1987,3.0,238,269,88.5,4600,1560,67,72,93.1,158,167,94.6,13,25,52.0,0,0.0,0.0,0.0,0,6,0,0,8
Matías Viña,DF,Uruguay,24,1997,0.2,11,21,52.4,148,44,6,9,66.7,5,8,62.5,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Vitinha,MF,Portugal,22,2000,1.3,100,108,92.6,1749,380,53,56,94.6,34,37,91.9,12,13,92.3,0,0.0,0.1,0.0,1,15,2,0,14
Steven Vitória,DF,Canada,35,1987,3.0,160,186,86.0,2837,1119,77,83,92.8,66,70,94.3,16,30,53.3,0,0.0,0.0,0.0,0,8,0,0,10
Dušan Vlahović,FW,Serbia,22,2000,0.9,6,11,54.5,105,20,2,6,33.3,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Nikola Vlašić,"FW,MF",Croatia,24,1997,2.3,45,55,81.8,570,94,27,27,100.0,15,18,83.3,0,2,0.0,0,0.0,0.1,0.0,0,4,2,1,4
Mohammed Waad,"MF,DF",Qatar,22,1999,0.3,9,12,75.0,185,28,6,8,75.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Kyle Walker,DF,England,32,1990,2.6,162,181,89.5,3151,837,65,68,95.6,76,83,91.6,20,28,71.4,0,0.0,0.1,0.0,0,11,2,0,18
Danny Ward,GK,Wales,28,1993,1.0,24,39,61.5,923,797,8,8,100.0,2,2,100.0,14,29,48.3,0,0.0,0.0,0.0,0,2,0,0,0
Kendall Waston,DF,Costa Rica,34,1988,2.5,57,71,80.3,1225,437,16,19,84.2,32,35,91.4,8,15,53.3,0,0.0,0.0,0.0,0,1,0,0,0
Timothy Weah,FW,United States,22,2000,3.5,90,108,83.3,1291,206,58,67,86.6,21,23,91.3,7,10,70.0,0,0.4,0.2,-0.4,6,6,2,2,5
Wout Weghorst,FW,Netherlands,29,1992,0.7,9,15,60.0,115,32,4,6,66.7,2,6,33.3,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,3
