Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jason Cummings,FW,Australia,26,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aymen Dahmen,GK,Tunisia,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Diogo Dalot,DF,Portugal,23,1999,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,29.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Mikkel Damsgaard,"MF,FW",Denmark,21,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Danilo,DF,Brazil,30,1991,3.1,0,2,0,0.0,0.64,0.00,0.00,,27.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Achraf Dari,DF,Morocco,23,1999,2.1,1,1,1,100.0,0.48,0.48,1.00,1.00,4.1,0,0,0,0.6,0.6,0.63,+0.4,+0.4
Jonathan David,"FW,MF",Canada,22,2000,2.1,0,8,1,12.5,3.75,0.47,0.00,0.00,14.1,0,0,0,1.0,0.7,0.09,-1.0,-0.7
Alphonso Davies,"MF,DF",Canada,21,2000,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,21.0,1,0,1,1.1,0.3,0.09,-0.1,+0.7
Ben Davies,DF,Wales,29,1993,2.6,0,3,2,66.7,1.13,0.76,0.00,0.00,12.1,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Nasser Al-Dawsari,FW,Saudi Arabia,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Salem Al-Dawsari,MF,Saudi Arabia,30,1991,3.0,2,6,4,66.7,2.00,1.33,0.33,0.50,21.6,0,0,1,1.8,1.0,0.16,+0.2,+1.0
Giorgian De Arrascaeta,MF,Uruguay,28,1994,1.2,2,3,3,100.0,2.50,2.50,0.67,0.67,9.6,0,0,0,1.2,1.2,0.40,+0.8,+0.8
Kevin De Bruyne,"FW,MF",Belgium,30,1991,3.0,0,7,2,28.6,2.33,0.67,0.00,0.00,23.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Charles De Ketelaere,FW,Belgium,21,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolás De La Cruz,MF,Uruguay,25,1997,0.4,0,1,1,100.0,2.37,2.37,0.00,0.00,32.4,1,0,0,0.0,0.0,0.04,0.0,0.0
Rodrigo De Paul,MF,Argentina,28,1994,6.7,0,7,3,42.9,1.05,0.45,0.00,0.00,20.1,0,0,0,0.9,0.9,0.13,-0.9,-0.9
Miloš Degenek,DF,Australia,28,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thomas Delaney,MF,Denmark,30,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ousmane Dembélé,FW,France,25,1997,4.8,0,8,2,25.0,1.66,0.42,0.00,0.00,20.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Leander Dendoncker,"DF,MF",Belgium,27,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Sergiño Dest,DF,United States,21,2000,3.4,0,6,0,0.0,1.77,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Ángel Di María,"MF,FW",Argentina,34,1988,3.2,1,6,3,50.0,1.87,0.94,0.17,0.33,20.7,0,0,0,0.6,0.6,0.11,+0.4,+0.4
Boulaye Dia,FW,Senegal,25,1996,3.5,1,8,3,37.5,2.26,0.85,0.13,0.33,14.2,0,0,0,0.7,0.7,0.09,+0.3,+0.3
Abdou Diallo,DF,Senegal,26,1996,3.7,0,1,0,0.0,0.27,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Rúben Dias,DF,Portugal,25,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,12.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Krépin Diatta,"FW,MF",Senegal,23,1999,2.0,0,3,1,33.3,1.49,0.50,0.00,0.00,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Famara Diedhiou,FW,Senegal,29,1992,1.0,1,3,1,33.3,2.93,0.98,0.33,1.00,9.1,0,0,0,0.2,0.2,0.07,+0.8,+0.8
