Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Mohamed Kanno,"MF,FW",Saudi Arabia,27,1994,3.0,4,1.33,2,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Fran Karačić,DF,Australia,26,1996,1.0,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Karimi,MF,IR Iran,28,1994,1.1,1,0.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mark-Anthony Kaye,MF,Canada,27,1994,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Wajdi Kechrida,DF,Tunisia,26,1995,1.2,4,3.24,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Thilo Kehrer,DF,Germany,25,1996,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bilal El Khannouss,MF,Morocco,18,2004,0.6,1,1.64,0,0,0,0,1,0,1,1.64,0,0,0,0,1,0
Wahbi Khazri,"FW,MF",Tunisia,31,1991,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Musab Kheder,DF,Qatar,28,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Boualem Khoukhi,DF,Qatar,31,1990,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joshua Kimmich,"MF,DF",Germany,27,1995,3.0,20,6.67,15,3,0,1,0,1,3,1.00,3,0,0,0,0,0
Jakub Kiwior,DF,Poland,22,2000,3.9,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simon Kjær,DF,Denmark,33,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davy Klaassen,"MF,FW",Netherlands,29,1993,2.1,7,3.32,7,0,0,0,0,0,2,0.95,2,0,0,0,0,0
Lukas Klostermann,DF,Germany,26,1996,0.7,1,1.36,1,0,0,0,0,0,1,1.36,1,0,0,0,0,0
Gregor Kobel,GK,Switzerland,24,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Koke,MF,Spain,30,1992,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Randal Kolo Muani,FW,France,23,1998,2.0,1,0.59,0,0,0,0,1,0,1,0.59,0,0,0,0,1,0
Ibrahima Konaté,DF,France,23,1999,3.3,4,1.26,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Ismaël Koné,"MF,DF",Canada,20,2002,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Teun Koopmeiners,MF,Netherlands,24,1998,2.4,4,1.91,2,1,0,1,0,0,2,0.96,1,1,0,0,0,0
Filip Kostić,DF,Serbia,29,1992,2.0,5,2.51,4,1,0,0,0,0,1,0.50,1,0,0,0,0,0
Kalidou Koulibaly,DF,Senegal,30,1991,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jules Koundé,DF,France,23,1998,5.3,5,0.94,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32,1989,0.8,2,2.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mateo Kovačić,MF,Croatia,28,1994,7.1,17,2.41,16,0,1,0,0,0,2,0.28,2,0,0,0,0,0
Andrej Kramarić,"FW,MF",Croatia,30,1991,5.3,10,1.90,7,0,1,1,0,1,0,0.00,0,0,0,0,0,0
Rasmus Kristensen,DF,Denmark,24,1997,2.5,5,2.01,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32,1990,3.7,5,1.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Takefusa Kubo,FW,Japan,21,2001,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
