Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Aymen Dahmen,GK,Tunisia,25,1997,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Diogo Dalot,DF,Portugal,23,1999,2.9,8,6,7,1,0,8,8,100.0,0,7,2,5,2,10,1,0
Mikkel Damsgaard,"MF,FW",Denmark,21,2000,1.7,4,2,2,2,0,0,4,0.0,4,2,0,2,2,6,1,0
Danilo,DF,Brazil,30,1991,3.1,5,2,2,2,1,2,3,66.7,1,2,1,1,3,8,5,1
Achraf Dari,DF,Morocco,23,1999,2.1,1,0,1,0,0,1,3,33.3,2,7,4,3,5,6,9,0
Jonathan David,"FW,MF",Canada,22,2000,2.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Alphonso Davies,"MF,DF",Canada,21,2000,3.0,2,1,0,1,1,0,1,0.0,1,5,0,5,3,5,1,0
Ben Davies,DF,Wales,29,1993,2.6,4,2,0,2,2,2,2,100.0,0,4,2,2,1,5,8,1
Nasser Al-Dawsari,FW,Saudi Arabia,23,1998,0.1,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0
Salem Al-Dawsari,MF,Saudi Arabia,30,1991,3.0,5,4,3,2,0,1,2,50.0,1,1,0,1,1,6,2,0
Giorgian De Arrascaeta,MF,Uruguay,28,1994,1.2,3,1,2,1,0,0,4,0.0,4,1,0,1,2,5,1,0
Kevin De Bruyne,"FW,MF",Belgium,30,1991,3.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,3,0
Charles De Ketelaere,FW,Belgium,21,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nicolás De La Cruz,MF,Uruguay,25,1997,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Rodrigo De Paul,MF,Argentina,28,1994,6.7,11,6,6,4,1,8,13,61.5,5,8,0,8,7,18,3,0
Miloš Degenek,DF,Australia,28,1994,2.0,6,4,6,0,0,5,6,83.3,1,2,1,1,1,7,9,0
Thomas Delaney,MF,Denmark,30,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Ousmane Dembélé,FW,France,25,1997,4.8,11,6,5,3,3,6,9,66.7,3,3,0,3,2,13,0,0
Leander Dendoncker,"DF,MF",Belgium,27,1995,1.8,6,3,4,2,0,4,4,100.0,0,4,3,1,0,6,5,0
Sergiño Dest,DF,United States,21,2000,3.4,4,2,2,1,1,2,3,66.7,1,3,0,3,2,6,7,0
