Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Gabriel Gudmundsson,SWE,DF,Lille,25-192,1999,3.0,155,9,60,62,36,2,155,7,5,71.4,1,14.3,92,693,279,6,9,1,10,8,87,3
Raphaël Guerreiro,POR,DF,Bayern Munich,30-321,1993,1.8,153,2,12,86,55,9,153,2,2,100.0,0,0.0,88,345,197,5,2,2,2,3,114,14
Daouda Guindo,MLI,"FW,DF",RB Salzburg,22-024,2002,0.2,10,2,3,5,2,1,10,0,0,,0,,6,48,16,0,1,0,0,0,7,1
Serhou Guirassy,GUI,FW,Dortmund,28-240,1996,3.1,110,6,8,62,41,17,108,3,1,33.3,2,66.7,55,296,154,5,6,0,4,2,78,20
Péter Gulácsi,HUN,GK,RB Leipzig,34-185,1990,4.0,189,158,189,0,0,0,189,0,0,,0,,117,380,228,0,0,0,1,0,101,0
Arda Güler,TUR,"MF,FW",Real Madrid,19-256,2005,0.5,35,2,4,15,16,2,35,1,1,100.0,0,0.0,25,95,33,1,1,0,1,0,23,2
İlkay Gündoğan,GER,MF,Manchester City,34-014,1990,2.4,271,3,15,114,143,13,271,3,1,33.3,2,66.7,169,964,621,13,17,0,2,2,218,17
Miguel Gutiérrez,ESP,"DF,MF",Girona,23-103,2001,4.0,247,15,63,114,73,4,247,15,8,53.3,7,46.7,153,899,392,10,5,0,3,2,164,16
Joško Gvardiol,CRO,DF,Manchester City,22-289,2002,3.0,312,7,41,172,100,4,312,5,3,60.0,2,40.0,231,1175,685,10,13,0,1,2,255,9
Viktor Gyökeres,SWE,FW,Sporting CP,26-156,1998,4.0,121,4,5,52,67,26,119,13,4,30.8,8,61.5,79,593,322,14,7,8,15,8,104,23
Erling Haaland,NOR,FW,Manchester City,24-109,2000,3.5,56,0,1,13,42,27,55,2,1,50.0,1,50.0,30,144,82,5,1,3,1,1,38,9
Anis Hadj Moussa,ALG,"DF,FW",Feyenoord,22-270,2002,1.0,60,0,1,17,42,5,60,5,2,40.0,3,60.0,43,329,141,7,3,1,2,2,41,14
Jaouen Hadjam,ALG,DF,Young Boys,21-226,2003,2.7,172,21,81,68,27,3,172,13,8,61.5,3,23.1,92,719,444,10,6,2,6,3,105,9
Amadou Haidara,MLI,MF,RB Leipzig,26-281,1998,3.6,194,15,65,99,31,0,194,2,1,50.0,1,50.0,88,326,135,0,0,0,2,4,116,3
Massadio Haïdara,MLI,DF,Brest,31-341,1992,3.1,189,15,49,100,41,1,189,3,2,66.7,1,33.3,81,385,192,2,2,1,4,1,107,7
Achraf Hakimi,MAR,DF,Paris S-G,26-003,1998,4.0,401,6,69,138,198,24,401,20,8,40.0,9,45.0,215,1312,946,36,16,7,4,5,286,58
Dávid Hancko,SVK,DF,Feyenoord,26-330,1997,4.0,300,29,119,142,39,7,300,3,3,100.0,0,0.0,172,998,614,11,6,0,3,2,216,6
Lukáš Haraslín,SVK,FW,Sparta Prague,28-165,1996,2.2,63,2,9,22,34,3,63,4,2,50.0,2,50.0,40,254,150,6,2,2,0,0,33,11
Conrad Harder,DEN,"MF,FW",Sporting CP,19-214,2005,0.2,9,0,0,5,4,2,9,0,0,,0,,6,57,41,2,1,1,0,1,8,2
Reo Hatate,JPN,MF,Celtic,26-352,1997,3.1,194,10,40,94,65,13,194,4,2,50.0,2,50.0,131,670,317,11,5,3,5,6,150,19
Kai Havertz,GER,"FW,MF",Arsenal,25-149,1999,4.0,156,3,15,64,77,21,156,4,2,50.0,2,50.0,78,355,137,3,3,3,5,8,125,25
Benjamin Henrichs,GER,"DF,MF",RB Leipzig,27-258,1997,3.3,204,7,65,98,43,4,204,5,4,80.0,1,20.0,114,488,210,5,3,1,2,1,120,7
Theo Hernández,FRA,"DF,MF",Milan,27-032,1997,4.0,280,12,70,141,72,6,280,5,2,40.0,2,40.0,186,1142,754,14,12,2,3,2,200,20
Yangel Herrera,VEN,MF,Girona,26-298,1998,2.6,155,6,33,89,35,6,155,3,2,66.7,1,33.3,110,534,198,2,3,0,6,4,120,5
Isak Hien,SWE,DF,Atalanta,25-299,1999,3.0,211,14,87,114,15,5,211,3,1,33.3,2,66.7,152,714,224,1,3,0,0,2,138,0
Stefan Hierländer,AUT,MF,Sturm Graz,33-278,1991,0.1,6,0,0,4,2,1,6,0,0,,0,,2,7,0,0,0,0,1,0,2,0
Piero Hincapié,ECU,DF,Leverkusen,22-303,2002,4.0,346,42,166,163,20,3,346,1,0,0.0,1,100.0,200,908,601,3,1,0,2,1,254,3
Morten Hjulmand,DEN,MF,Sporting CP,25-135,1999,4.0,201,9,50,122,32,2,201,1,0,0.0,1,100.0,80,241,103,1,1,1,3,2,123,0
Jonas Hofmann,GER,"MF,FW",Leverkusen,32-116,1992,1.2,62,0,9,31,23,3,62,2,1,50.0,1,50.0,37,87,30,1,0,0,1,2,50,8
Tomi Horvat,SVN,MF,Sturm Graz,25-228,1999,1.6,78,2,20,41,18,1,78,3,1,33.3,2,66.7,55,250,124,0,2,0,1,1,53,7
Arbër Hoxha,ALB,"DF,FW",Dinamo Zagreb,26-032,1998,0.2,18,3,8,5,5,0,18,4,3,75.0,1,25.0,12,90,67,2,2,0,1,0,12,3
Lukáš Hrádecký,FIN,GK,Leverkusen,34-349,1989,3.0,119,108,118,1,0,0,119,0,0,,0,,70,259,120,0,0,0,0,0,67,0
Yang Hyunjun,KOR,FW,Celtic,22-166,2002,0.5,26,1,4,11,12,1,26,2,1,50.0,0,0.0,15,85,43,1,0,0,1,0,16,3
Adam Idah,IRL,FW,Celtic,23-270,2001,1.3,47,2,6,28,13,5,47,3,1,33.3,2,66.7,25,133,29,1,0,1,5,3,36,6
Danylo Ihnatenko,UKR,MF,Slovan Bratislava,27-239,1997,3.4,155,12,50,90,16,1,155,3,0,0.0,2,66.7,88,381,109,0,1,0,5,2,103,2
George Ilenikhena,FRA,FW,Monaco,18-083,2006,1.0,25,0,3,6,17,3,25,2,1,50.0,1,50.0,12,44,30,1,0,1,3,1,19,5
Luka Ilić,SRB,"MF,FW",Red Star,25-128,1999,0.9,40,1,6,25,9,1,40,1,1,100.0,0,0.0,20,101,16,1,1,1,2,1,31,4
Marko Ilić,SRB,GK,Red Star,26-278,1998,2.0,71,60,71,0,0,0,71,0,0,,0,,19,137,86,0,0,0,0,0,15,0
Samuel Iling-Junior,ENG,"FW,MF",Bologna,21-034,2003,1.3,64,2,10,20,35,3,64,5,3,60.0,2,40.0,42,316,179,7,4,1,3,3,43,14
Kastriot Imeri,SUI,MF,Young Boys,24-133,2000,2.0,69,1,13,28,31,3,69,2,2,100.0,0,0.0,44,249,137,3,2,0,4,1,50,6
Hwang In-beom,KOR,MF,Feyenoord,28-048,1996,4.0,235,11,40,138,60,1,235,2,1,50.0,1,50.0,125,673,339,6,8,0,2,3,156,8
Gonçalo Inácio,POR,DF,Sporting CP,23-074,2001,2.1,197,25,84,105,8,1,197,2,1,50.0,1,50.0,131,528,290,0,2,0,0,0,154,0
Franco Israel,URU,GK,Sporting CP,24-199,2000,4.0,147,138,147,0,0,0,147,0,0,,0,,70,283,178,0,0,0,0,0,63,0
