Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Bruno Tabata,BRA,"MF,FW",,27-200,1997,7,6,487,5.4,1,3,4,1,0,1,1,0,1.5,0.5,1.8,2.3,18,29,31,0.18,0.55,0.74,0.18,0.74,0.27,0.33,0.61,0.10,0.43
Gabriel Taliari,BRA,FW,,27-186,1997,12,3,453,5.0,0,2,2,0,0,0,0,0,0.4,0.4,1.3,1.6,4,7,22,0.00,0.40,0.40,0.00,0.40,0.07,0.25,0.32,0.07,0.32
Talisson,BRA,FW,Bull Bragantino,22-148,2002,4,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,1,10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Tchê Tchê,BRA,"MF,FW",(RJ),32-047,1992,25,15,"1,503",16.7,0,0,0,0,0,0,2,1,0.6,0.6,2.8,3.4,28,88,42,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.20,0.04,0.20
Alex Teixeira,BRA,FW,da Gama,34-284,1990,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
Alex Telles,BRA,DF,(RJ),31-306,1992,4,1,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,4,6,8,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
David Terans,URU,"MF,FW",,30-066,1994,7,2,217,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,1,10,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
Felipe Teresa,BRA,"MF,FW",,18-288,2006,1,0,5,0.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,18.00,0.00,18.00,18.00,18.00,5.52,0.00,5.52,5.52,5.52
Thaciano,BRA,FW,,29-157,1995,28,26,"1,899",21.1,6,2,8,6,0,0,5,0,4.9,4.9,2.1,7.0,17,38,105,0.28,0.09,0.38,0.28,0.38,0.23,0.10,0.33,0.23,0.33
Thiaguinho,BRA,MF,,27-188,1997,7,3,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
