Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Nicolò Fagioli,MF,Italy,22,2001,1.1,104,97,7,2,0,1,4,0,3,2,1,0,87,0,0
João Félix,"MF,FW",Portugal,24,1999,1.2,77,70,6,1,1,0,7,1,4,1,1,0,67,1,0
Bruno Fernandes,MF,Portugal,29,1994,4.2,297,267,27,7,3,2,32,0,17,8,4,1,221,3,5
Attila Fiola,DF,Hungary,33,1990,2.0,73,67,6,2,0,0,1,4,0,0,0,0,57,0,1
Phil Foden,"FW,MF",England,23,2000,6.9,368,341,24,11,2,0,27,3,8,4,4,0,310,3,3
Youssouf Fofana,MF,France,25,1999,0.5,29,29,0,0,0,0,0,0,0,0,0,0,25,0,1
Michael Folorunsho,FW,Italy,25,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Przemysław Frankowski,DF,Poland,28,1995,3.0,125,113,12,1,1,1,7,11,0,0,0,0,92,0,9
Davide Frattesi,MF,Italy,24,1999,2.1,60,60,0,0,0,0,2,0,0,0,0,0,44,0,6
Remo Freuler,MF,Switzerland,31,1992,5.1,233,225,8,4,0,0,0,2,0,0,0,0,204,0,5
Jeremie Frimpong,FW,Netherlands,23,2000,1.0,25,25,0,0,0,0,0,0,0,0,0,0,21,0,1
Chris Führich,FW,Germany,26,1998,0.2,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0
Niclas Füllkrug,FW,Germany,30,1993,1.8,37,35,1,0,0,0,0,0,0,0,0,0,25,1,0
Mijat Gaćinović,DF,Serbia,28,1995,0.5,24,20,4,0,0,0,3,4,0,0,0,0,16,0,0
Cody Gakpo,FW,Netherlands,24,1999,5.8,133,128,4,1,1,0,22,3,0,0,0,0,93,1,4
Conor Gallagher,MF,England,23,2000,1.3,51,51,0,0,0,0,0,0,0,0,0,0,45,0,0
Dániel Gazdag,MF,Hungary,27,1996,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,81,71,10,1,0,0,1,9,0,0,0,0,74,0,0
Billy Gilmour,MF,Scotland,22,2001,2.0,113,108,4,3,0,0,4,0,0,0,0,0,95,1,2
Olivier Giroud,FW,France,37,1986,0.7,13,12,1,0,0,0,0,0,0,0,0,0,8,0,1
Klaus Gjasula,MF,Albania,34,1989,0.2,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1
Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,164,143,20,8,0,1,10,0,12,2,4,0,127,1,0
Anthony Gordon,FW,England,22,2001,0.0,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0
Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,23,21,0,0,0,0,0,0,0,0,0,0,16,2,0
Michael Gregoritsch,FW,Austria,29,1994,1.4,32,29,2,0,0,0,1,0,0,0,0,0,23,1,0
Antoine Griezmann,"MF,FW",France,32,1991,4.4,194,164,30,12,1,3,27,1,16,7,4,0,151,0,3
Florian Grillitsch,MF,Austria,28,1995,2.2,162,158,4,3,1,1,2,1,0,0,0,0,135,0,2
Álex Grimaldo,DF,Spain,28,1995,1.3,102,90,12,1,0,0,16,5,6,3,2,0,88,0,0
Pascal Groß,MF,Germany,32,1991,0.5,69,68,0,0,0,0,1,0,0,0,0,0,65,1,0
Kamil Grosicki,MF,Poland,35,1988,0.2,5,4,1,0,0,0,2,0,1,0,1,0,1,0,0
Nemanja Gudelj,MF,Serbia,32,1991,1.0,64,60,4,4,0,1,0,0,0,0,0,0,61,0,0
Marc Guéhi,DF,England,23,2000,6.3,448,437,11,10,0,2,0,1,0,0,0,0,419,0,1
Péter Gulácsi,GK,Hungary,33,1990,3.0,97,72,25,11,0,0,0,0,0,0,0,0,74,0,0
Arda Güler,"FW,MF",Türkiye,18,2005,3.8,197,171,26,2,1,1,26,1,17,11,4,0,162,0,1
İlkay Gündoğan,MF,Germany,33,1990,4.3,167,165,2,1,1,0,3,1,0,0,0,0,142,0,4
Angus Gunn,GK,Scotland,28,1996,3.0,117,79,38,16,0,0,0,0,0,0,0,0,72,0,0
Mert Günok,GK,Türkiye,34,1989,4.0,129,81,47,17,0,1,0,0,0,0,0,0,83,1,0
Joško Gvardiol,DF,Croatia,22,2002,3.0,158,140,18,2,1,1,0,16,0,0,0,0,144,0,1
Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,36,36,0,0,0,0,0,0,0,0,0,0,26,0,0
Norbert Gyömbér,DF,Slovakia,31,1992,0.4,36,36,0,0,0,0,1,0,0,0,0,0,35,0,0
Ianis Hagi,MF,Romania,25,1998,2.1,67,63,4,1,1,1,8,1,2,0,1,0,41,0,4
Dávid Hancko,DF,Slovakia,26,1997,4.1,188,147,40,3,0,2,11,37,0,0,0,0,134,1,7
Grant Hanley,DF,Scotland,32,1991,2.5,136,136,0,0,0,1,0,0,0,0,0,0,112,0,0
Lukáš Haraslín,FW,Slovakia,27,1996,2.9,71,57,13,3,0,0,14,2,7,1,5,0,50,1,1
Kai Havertz,"FW,MF",Germany,24,1999,4.3,116,110,6,0,1,0,1,0,0,0,0,0,95,0,4
