Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Riccardo Calafiori,DF,Italy,21,2002,3.0,215,232,92.7,3358,1068,103,109,94.5,93,99,93.9,12,15,80.0,1,0.2,0.3,+0.8,4,12,2,1,11
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,232,261,88.9,4021,918,108,112,96.4,93,101,92.1,24,40,60.0,0,0.2,0.4,-0.2,3,20,1,0,18
Eduardo Camavinga,MF,France,21,2002,1.9,74,86,86.0,1219,391,30,33,90.9,39,41,95.1,3,7,42.9,0,0.1,0.2,-0.1,2,15,2,0,12
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,38,48,79.2,556,91,24,25,96.0,13,17,76.5,1,3,33.3,0,0.0,0.1,0.0,0,0,1,1,1
Emre Can,MF,Germany,30,1994,1.1,65,70,92.9,1086,221,33,35,94.3,23,24,95.8,8,8,100.0,0,0.0,0.1,0.0,1,4,0,0,4
João Cancelo,"DF,MF",Portugal,29,1994,3.8,224,259,86.5,3679,899,118,126,93.7,91,101,90.1,14,25,56.0,0,0.4,0.9,-0.4,4,19,9,1,36
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,84,98,85.7,1295,390,47,49,95.9,35,43,81.4,1,5,20.0,0,0.0,0.4,0.0,0,3,2,0,10
Dani Carvajal,DF,Spain,32,1992,5.2,291,325,89.5,4613,1155,161,168,95.8,109,121,90.1,17,25,68.0,0,0.5,0.3,-0.5,5,21,2,1,23
Timothy Castagne,DF,Belgium,28,1995,4.0,187,221,84.6,2965,940,111,117,94.9,60,76,78.9,15,22,68.2,0,0.0,0.1,0.0,0,10,1,0,11
Koen Casteels,GK,Belgium,31,1992,4.0,119,143,83.2,2621,1453,32,32,100.0,69,69,100.0,18,41,43.9,0,0.0,0.0,0.0,0,1,1,0,0
