Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Davide Frattesi,MF,Italy,24,1999,2.1,0,0,0,4,6,1,2,0,1,0,1,0,4,1,2,33.3
Remo Freuler,MF,Switzerland,31,1992,5.1,1,0,0,10,1,0,0,4,5,0,0,0,11,6,1,85.7
Jeremie Frimpong,FW,Netherlands,23,2000,1.0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0
Chris Führich,FW,Germany,26,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
Niclas Füllkrug,FW,Germany,30,1993,1.8,0,0,0,1,2,4,0,0,0,0,0,0,1,8,2,80.0
Mijat Gaćinović,DF,Serbia,28,1995,0.5,1,0,0,1,0,0,3,0,1,0,0,0,2,2,2,50.0
Cody Gakpo,FW,Netherlands,24,1999,5.8,0,0,0,6,8,6,22,4,8,0,0,0,18,6,4,60.0
Conor Gallagher,MF,England,23,2000,1.3,1,0,0,5,5,0,0,1,0,0,0,0,2,2,2,50.0
Dániel Gazdag,MF,Hungary,27,1996,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,0,0,0,2,2,0,1,0,3,0,0,0,1,0,1,0.0
Billy Gilmour,MF,Scotland,22,2001,2.0,0,0,0,0,1,0,4,0,1,0,0,0,8,4,1,80.0
Olivier Giroud,FW,France,37,1986,0.7,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,75.0
Klaus Gjasula,MF,Albania,34,1989,0.2,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,50.0
Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,0,0,0,10,4,0,10,5,5,0,0,0,16,5,2,71.4
Anthony Gordon,FW,England,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0
Michael Gregoritsch,FW,Austria,29,1994,1.4,0,0,0,4,0,0,1,0,1,0,0,0,3,3,4,42.9
Antoine Griezmann,"MF,FW",France,32,1991,4.4,1,0,0,2,6,0,27,1,3,0,0,0,11,1,3,25.0
Florian Grillitsch,MF,Austria,28,1995,2.2,0,0,0,2,3,0,2,6,1,0,0,0,11,1,1,50.0
Álex Grimaldo,DF,Spain,28,1995,1.3,0,0,0,0,0,0,16,3,1,0,0,0,3,1,0,100.0
Pascal Groß,MF,Germany,32,1991,0.5,0,0,0,1,0,0,1,0,1,0,0,0,4,1,1,50.0
Kamil Grosicki,MF,Poland,35,1988,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Nemanja Gudelj,MF,Serbia,32,1991,1.0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0.0
Marc Guéhi,DF,England,23,2000,6.3,2,0,0,5,8,0,0,2,2,0,0,0,28,13,16,44.8
Péter Gulácsi,GK,Hungary,33,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
Arda Güler,"FW,MF",Türkiye,18,2005,3.8,1,0,0,2,6,1,26,3,5,0,0,0,16,0,7,0.0
İlkay Gündoğan,MF,Germany,33,1990,4.3,0,0,0,4,7,1,3,1,4,1,0,0,10,3,4,42.9
Angus Gunn,GK,Scotland,28,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
Mert Günok,GK,Türkiye,34,1989,4.0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
Joško Gvardiol,DF,Croatia,22,2002,3.0,0,0,0,6,3,0,0,5,3,0,0,0,16,0,5,0.0
Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,
Norbert Gyömbér,DF,Slovakia,31,1992,0.4,1,0,0,3,1,0,1,1,0,0,0,0,1,0,2,0.0
Ianis Hagi,MF,Romania,25,1998,2.1,0,0,0,3,4,1,8,0,3,1,0,0,6,2,3,40.0
Dávid Hancko,DF,Slovakia,26,1997,4.1,0,0,0,5,3,1,11,3,5,0,1,0,17,6,6,50.0
Grant Hanley,DF,Scotland,32,1991,2.5,0,0,0,4,1,0,0,1,0,0,0,0,8,10,4,71.4
Lukáš Haraslín,FW,Slovakia,27,1996,2.9,0,0,0,2,6,1,14,3,4,0,0,0,6,2,1,66.7
Kai Havertz,"FW,MF",Germany,24,1999,4.3,0,0,0,6,2,3,1,0,1,0,0,0,10,9,12,42.9
Jack Hendry,DF,Scotland,28,1995,2.9,0,0,0,4,4,0,1,1,1,0,0,0,5,10,3,76.9
Benjamin Henrichs,DF,Germany,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Theo Hernández,DF,France,26,1997,6.3,0,0,0,2,12,0,11,3,6,0,0,0,25,2,1,66.7
Morten Hjulmand,MF,Denmark,24,1999,2.7,2,0,0,4,1,0,2,1,1,0,0,0,17,0,2,0.0
Adam Hložek,MF,Czechia,21,2002,1.2,0,0,0,2,1,0,0,1,0,0,0,0,3,0,1,0.0
Tomáš Holeš,DF,Czechia,30,1993,3.0,1,0,0,3,2,0,5,2,5,0,0,0,8,6,2,75.0
Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,1,0,0,1,3,0,1,0,2,0,0,0,6,0,1,0.0
Robin Hranáč,DF,Czechia,24,2000,3.0,0,0,0,6,0,0,0,0,1,0,1,1,12,3,1,75.0
Elseid Hysaj,DF,Albania,29,1994,2.0,1,0,0,0,0,0,3,0,1,0,0,0,6,0,2,0.0
Pierre Højbjerg,MF,Denmark,28,1995,3.9,0,0,0,5,4,0,6,3,7,0,0,0,28,2,1,66.7
Rasmus Højlund,FW,Denmark,20,2003,3.2,0,0,0,5,4,3,1,1,1,0,0,0,6,4,7,36.4
Ivan Ilić,MF,Serbia,22,2001,2.2,0,0,0,2,3,0,4,0,4,0,0,0,13,3,2,60.0
Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,
Gonçalo Inácio,DF,Portugal,22,2001,1.3,0,0,0,0,0,0,1,1,2,0,0,0,6,4,0,100.0
Luka Ivanušec,MF,Croatia,25,1998,0.2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Erik Janža,DF,Slovenia,30,1993,3.0,2,0,0,3,4,0,12,2,4,0,0,0,4,4,1,80.0
Jorginho,MF,Italy,32,1991,2.4,0,0,0,0,1,0,0,4,2,0,0,0,10,0,1,0.0
Joselu,FW,Spain,33,1990,1.0,0,0,0,1,1,1,0,0,0,0,0,0,2,3,3,50.0
Diogo Jota,"FW,MF",Portugal,27,1996,1.1,0,0,0,2,2,0,1,0,2,1,0,0,5,2,6,25.0
Luka Jović,"MF,FW",Serbia,26,1997,1.1,1,0,0,4,1,1,1,0,0,0,0,0,2,1,3,25.0
Josip Juranović,DF,Croatia,28,1995,1.0,0,0,0,0,1,0,8,1,3,0,0,0,5,2,0,100.0
David Jurásek,DF,Czechia,23,2000,1.8,1,0,0,1,0,0,15,1,2,0,0,0,5,2,2,50.0
Matěj Jurásek,"DF,MF",Czechia,20,2003,0.5,0,0,0,0,1,0,9,0,1,0,0,0,5,0,0,
Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5.0,0,0,0,1,8,0,4,7,12,0,0,0,25,3,6,33.3
İrfan Kahveci,FW,Türkiye,28,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Otar Kakabadze,"DF,MF",Georgia,28,1995,4.0,0,0,0,3,4,0,5,4,8,0,0,0,21,4,7,36.4
Harry Kane,FW,England,30,1993,6.7,2,0,0,6,11,0,4,1,3,1,0,0,11,12,14,46.2
N'Golo Kanté,MF,France,32,1991,5.7,0,0,0,6,1,0,3,6,9,0,0,0,27,2,2,50.0
Žan Karničnik,DF,Slovenia,29,1994,4.3,1,0,0,3,3,0,5,8,4,0,0,0,26,0,9,0.0
Guram Kashia,DF,Georgia,36,1987,4.0,1,0,0,2,1,0,0,1,4,0,0,0,9,8,7,53.3
Milos Kerkez,DF,Hungary,20,2003,2.6,0,0,0,2,7,0,14,0,2,0,0,0,9,2,3,40.0
Semih Kılıçsoy,FW,Türkiye,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
