Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Mijat Gaćinović,DF,Serbia,28,1995,0.5,30,1,7,9,14,2,30,1,0,0.0,1,100.0,17,75,19,0,3,0,1,1,18,4
Cody Gakpo,FW,Netherlands,24,1999,5.8,188,3,24,45,122,32,188,16,9,56.3,3,18.8,125,897,611,22,8,11,9,4,133,55
Conor Gallagher,MF,England,23,2000,1.3,66,4,11,47,8,0,66,3,1,33.3,1,33.3,37,175,61,0,0,0,1,2,48,1
Dániel Gazdag,MF,Hungary,27,1996,0.0,3,1,1,1,1,1,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,90,1,29,50,12,0,90,2,0,0.0,2,100.0,61,239,55,1,1,0,2,0,67,0
Billy Gilmour,MF,Scotland,22,2001,2.0,129,3,28,80,21,2,129,5,2,40.0,1,20.0,88,443,180,3,6,0,1,3,97,3
Olivier Giroud,FW,France,37,1986,0.7,20,1,1,4,15,8,20,0,0,,0,,6,5,3,0,0,0,2,1,13,5
Klaus Gjasula,MF,Albania,34,1989,0.2,17,2,5,7,5,1,17,1,0,0.0,1,100.0,4,8,0,0,0,0,1,0,9,0
Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,204,13,50,117,41,2,204,2,2,100.0,0,0.0,90,531,248,4,4,0,4,2,117,5
Anthony Gordon,FW,England,22,2001,0.0,4,0,0,3,1,0,4,0,0,,0,,3,40,13,0,0,0,1,0,3,1
Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,30,5,8,18,4,0,30,0,0,,0,,8,15,9,0,1,0,0,0,15,1
Michael Gregoritsch,FW,Austria,29,1994,1.4,42,0,0,20,22,8,42,1,0,0.0,1,100.0,30,124,17,0,1,1,1,0,36,9
