Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Robert Andrich,GER,MF,Leverkusen,30-047,1994,1.4,52,58,89.7,702,186,29,29,100.0,19,21,90.5,2,5,40.0,1,0.3,0.0,+0.7,2,1,1,0,2
Waldemar Anton,GER,DF,Dortmund,28-111,1996,1.8,121,135,89.6,2223,660,44,47,93.6,65,67,97.0,10,16,62.5,0,0.0,0.0,0.0,0,7,0,0,5
Maximiliano Araújo,URU,"DF,MF",Sporting CP,24-267,2000,1.9,47,63,74.6,757,334,23,29,79.3,16,19,84.2,5,10,50.0,0,0.1,0.2,-0.1,2,6,1,0,9
Tomás Araújo,POR,DF,Benfica,22-176,2002,3.0,171,187,91.4,3489,1357,61,63,96.8,85,90,94.4,24,31,77.4,0,0.0,0.0,0.0,0,15,0,0,8
Marko Arnautović,AUT,FW,Inter,35-203,1989,1.4,28,41,68.3,307,60,18,24,75.0,5,9,55.6,0,0,,0,0.2,0.2,-0.2,1,0,2,1,2
Marco Asensio,ESP,FW,Paris S-G,28-292,1996,1.4,32,39,82.1,480,94,18,20,90.0,10,11,90.9,2,3,66.7,0,0.1,0.1,-0.1,1,0,1,1,2
Kristjan Asllani,ALB,MF,Inter,22-244,2002,0.5,20,24,83.3,309,47,9,10,90.0,9,10,90.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1
Yaser Asprilla,COL,"FW,MF",Girona,20-355,2003,0.5,11,16,68.8,191,44,6,7,85.7,4,6,66.7,1,3,33.3,0,0.0,0.0,0.0,0,2,1,0,4
Zachary Athekame,SUI,DF,Young Boys,19-331,2004,2.4,62,84,73.8,1245,326,29,35,82.9,18,24,75.0,15,22,68.2,0,0.1,0.1,-0.1,2,4,2,1,8
Carlos Augusto,BRA,DF,Inter,25-306,1999,2.6,73,91,80.2,980,179,47,50,94.0,19,29,65.5,3,5,60.0,0,0.0,0.1,0.0,1,2,1,1,1
Yann Aurel Bisseck,GER,DF,Inter,23-345,2000,3.0,131,158,82.9,2041,593,63,69,91.3,55,59,93.2,8,18,44.4,0,0.0,0.0,0.0,0,3,1,0,5
Fredrik Aursnes,NOR,MF,Benfica,28-334,1995,3.4,146,169,86.4,2465,862,77,82,93.9,47,54,87.0,17,23,73.9,1,0.6,0.2,+0.4,2,13,3,1,17
Ayman Azhil,MAR,MF,Dortmund,23-212,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Isaac Babadi,NED,"FW,MF",PSV Eindhoven,19-216,2005,0.2,10,10,100.0,143,53,7,7,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1
Alexander Bah,DEN,DF,Benfica,26-335,1997,2.3,108,146,74.0,1649,430,57,70,81.4,40,49,81.6,5,14,35.7,0,0.2,0.1,-0.2,2,5,3,1,7
Samson Baidoo,AUT,DF,RB Salzburg,20-222,2004,2.8,161,179,89.9,3124,1192,50,55,90.9,94,99,94.9,14,17,82.4,0,0.0,0.0,0.0,1,15,0,0,15
Leon Bailey,JAM,FW,Aston Villa,27-091,1997,2.1,43,63,68.3,631,164,23,30,76.7,19,22,86.4,0,5,0.0,0,0.2,0.1,-0.2,3,2,2,1,5
Stefan Bajcetic,ESP,MF,RB Salzburg,20-017,2004,1.4,91,107,85.0,1679,285,35,37,94.6,46,50,92.0,9,16,56.3,0,0.1,0.1,-0.1,3,11,0,0,8
Kenan Bajrić,SVN,DF,Slovan Bratislava,29-324,1994,4.0,128,148,86.5,2300,836,48,54,88.9,72,77,93.5,7,12,58.3,0,0.0,0.0,0.0,1,5,0,0,10
Johan Bakayoko,BEL,FW,PSV Eindhoven,21-202,2003,3.9,127,155,81.9,1798,231,67,71,94.4,50,57,87.7,4,11,36.4,1,1.1,0.6,-0.1,8,4,7,3,9
Mitchel Bakker,NED,"DF,FW",Lille,24-141,2000,2.0,62,79,78.5,873,354,38,42,90.5,22,24,91.7,1,6,16.7,0,0.0,0.0,0.0,0,2,0,0,6
Alejandro Balde,ESP,DF,Barcelona,21-021,2003,3.0,106,124,85.5,1589,446,61,66,92.4,39,43,90.7,5,10,50.0,0,0.0,0.1,0.0,0,2,2,1,7
David von Ballmoos,SUI,GK,Young Boys,29-314,1994,2.0,47,67,70.1,1454,983,3,3,100.0,26,27,96.3,18,37,48.6,0,0.0,0.0,0.0,0,3,1,0,0
Folarin Balogun,USA,FW,Monaco,23-128,2001,0.7,15,19,78.9,183,39,11,11,100.0,4,6,66.7,0,0,,0,0.1,0.1,-0.1,2,0,2,0,2
Bradley Barcola,FRA,FW,Paris S-G,22-067,2002,3.6,103,135,76.3,1344,229,71,82,86.6,29,36,80.6,1,5,20.0,0,0.4,0.7,-0.4,7,5,2,0,6
Nicolò Barella,ITA,MF,Inter,27-275,1997,2.3,119,147,81.0,2003,738,55,62,88.7,46,57,80.7,11,17,64.7,0,0.7,0.4,-0.7,6,12,4,0,17
Ross Barkley,ENG,MF,Aston Villa,30-339,1993,0.9,29,35,82.9,448,120,16,21,76.2,10,11,90.9,2,2,100.0,0,0.0,0.0,0.0,1,2,0,0,3
Leandro Barreiro Martins,LUX,MF,Benfica,24-310,2000,0.1,14,15,93.3,192,54,9,9,100.0,5,5,100.0,0,0,,0,0.1,0.0,-0.1,1,2,0,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,21-146,2003,1.0,30,39,76.9,432,228,18,19,94.7,10,16,62.5,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,1
Tigran Barseghyan,ARM,"FW,MF",Slovan Bratislava,31-047,1993,3.7,79,111,71.2,1208,365,43,51,84.3,13,23,56.5,12,20,60.0,0,0.4,0.1,-0.4,5,8,2,0,14
Alessandro Bastoni,ITA,DF,Inter,25-209,1999,2.0,141,166,84.9,2326,702,65,70,92.9,66,70,94.3,7,18,38.9,0,0.0,0.1,0.0,0,6,1,0,10
Martin Baturina,CRO,"MF,FW",Dinamo Zagreb,21-266,2003,3.3,112,133,84.2,1909,573,51,56,91.1,50,57,87.7,8,13,61.5,1,0.8,0.6,+0.2,6,8,8,0,22
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,25-099,1999,2.0,38,53,71.7,490,151,27,33,81.8,9,13,69.2,1,2,50.0,0,0.0,0.0,0.0,0,6,0,0,4
Donny van de Beek,NED,"MF,FW",Girona,27-204,1997,3.1,90,111,81.1,1345,314,46,52,88.5,38,47,80.9,2,2,100.0,0,0.7,0.4,-0.7,4,13,1,0,15
Thomas Beelen,NED,DF,Feyenoord,23-150,2001,2.6,144,160,90.0,2709,808,44,47,93.6,83,86,96.5,16,22,72.7,0,0.0,0.1,0.0,1,19,1,0,11
Maximilian Beier,GER,"FW,MF",Dortmund,22-022,2002,1.5,23,32,71.9,298,68,13,17,76.5,7,10,70.0,1,2,50.0,0,0.0,0.1,0.0,1,0,2,1,2
