Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Mateo Tanlongo,ARG,MF,Sporting CP,18,2003,0.2,17,20,85.0,279,100,9,11,81.8,8,8,100.0,0,1,0.0,0,0.0,0.0,0.0,0,3,0,0,3
Edmond Tapsoba,BFA,DF,Leverkusen,23,1999,8.0,538,617,87.2,9864,3187,198,221,89.6,276,298,92.6,55,84,65.5,1,0.3,0.4,+0.7,3,51,2,1,63
Kenneth Taylor,NED,"MF,DF",Ajax,20,2002,2.0,144,166,86.7,2600,634,60,66,90.9,75,84,89.3,8,14,57.1,0,0.0,0.1,0.0,0,16,1,0,17
Lucas Taylor,BRA,DF,Shakhtar,27,1995,1.0,34,42,81.0,619,252,13,13,100.0,18,23,78.3,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,1
Bernard Tekpetey,GHA,FW,Ludogorets,24,1997,5.1,86,140,61.4,1350,412,48,64,75.0,28,41,68.3,8,21,38.1,1,1.1,0.5,-0.1,7,5,7,2,15
Alex Telles,BRA,DF,Sevilla,29,1992,3.6,140,172,81.4,2568,775,65,72,90.3,55,65,84.6,17,28,60.7,0,0.1,0.1,-0.1,2,16,2,2,13
Miro Tenho,FIN,DF,HJK,27,1995,2.1,81,102,79.4,1518,777,34,42,81.0,39,43,90.7,7,14,50.0,0,0.0,0.0,0.0,0,6,0,0,3
Marc-André ter Stegen,GER,GK,Barcelona,30,1992,2.0,82,89,92.1,2048,1356,18,18,100.0,37,38,97.4,27,33,81.8,0,0.0,0.0,0.0,0,0,0,0,0
Casper Terho,FIN,"FW,MF",HJK,19,2003,0.6,13,17,76.5,174,30,9,10,90.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2
Casper Terho,FIN,FW,Union SG,19,2003,0.5,9,13,69.2,202,67,5,5,100.0,2,2,100.0,2,3,66.7,0,0.1,0.0,-0.1,2,0,2,1,2
Martin Terrier,FRA,"FW,MF",Rennes,25,1997,4.3,114,163,69.9,1748,574,66,80,82.5,38,56,67.9,8,11,72.7,1,1.4,0.7,-0.4,7,14,9,1,22
Georgi Terziev,BUL,DF,Ludogorets,30,1992,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Teddy Teuma,MLT,MF,Union SG,28,1993,8.6,467,618,75.6,7549,2244,254,285,89.1,135,171,78.9,52,100,52.0,3,2.3,1.8,+0.7,20,46,14,2,67
Jordan Teze,NED,DF,PSV Eindhoven,22,1999,4.1,228,249,91.6,4769,1801,65,66,98.5,128,136,94.1,34,44,77.3,0,0.1,0.1,-0.1,3,16,0,0,8
Arthur Theate,BEL,DF,Rennes,22,2000,5.0,210,248,84.7,3969,1630,82,87,94.3,101,120,84.2,25,35,71.4,0,0.0,0.1,0.0,0,20,2,0,26
Thiago,BRA,FW,Ludogorets,21,2001,3.9,46,69,66.7,582,66,23,28,82.1,17,21,81.0,1,5,20.0,0,0.6,0.6,-0.6,7,1,1,0,3
Jean Thierry Lazare,CIV,MF,Union SG,24,1998,7.7,189,259,73.0,2847,733,106,129,82.2,63,85,74.1,12,24,50.0,2,0.5,0.3,+1.5,4,15,1,0,19
Morten Thorsby,NOR,MF,Union Berlin,26,1996,4.0,71,112,63.4,853,216,45,62,72.6,20,32,62.5,0,3,0.0,0,0.3,0.4,-0.3,3,5,1,0,8
Kieran Tierney,SCO,DF,Arsenal,25,1997,5.3,302,370,81.6,5860,1861,105,116,90.5,163,182,89.6,32,57,56.1,1,0.4,0.7,+0.6,4,36,9,2,37
Guus Til,NED,"MF,FW",PSV Eindhoven,24,1997,4.8,102,129,79.1,1563,399,54,64,84.4,35,42,83.3,7,9,77.8,2,0.3,0.3,+1.7,7,11,1,0,13
Jurriën Timber,NED,DF,Ajax,21,2001,2.0,194,209,92.8,3308,1139,80,87,92.0,107,112,95.5,6,8,75.0,0,0.0,0.1,0.0,0,18,0,0,19
Quinten Timber,NED,MF,Feyenoord,21,2001,5.5,177,201,88.1,2834,890,87,96,90.6,73,80,91.3,11,14,78.6,0,0.2,0.2,-0.2,4,24,4,0,28
Matías Tissera,ARG,FW,Ludogorets,25,1996,2.1,24,31,77.4,260,56,17,21,81.0,6,7,85.7,0,1,0.0,0,0.0,0.0,0.0,1,1,1,0,3
Joona Toivio,FIN,DF,HJK,34,1988,0.4,12,17,70.6,177,47,6,6,100.0,5,5,100.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Ola Toivonen,SWE,"FW,MF",Malmö,36,1986,1.7,39,55,70.9,584,74,22,26,84.6,14,22,63.6,3,5,60.0,0,0.0,0.0,0.0,0,1,1,0,2
Karl Toko Ekambi,CMR,"MF,FW",Rennes,29,1992,1.9,38,52,73.1,603,131,19,27,70.4,13,17,76.5,4,4,100.0,0,0.2,0.1,-0.2,3,6,0,0,3
Takehiro Tomiyasu,JPN,DF,Arsenal,23,1998,4.4,283,330,85.8,5245,1253,115,128,89.8,138,153,90.2,28,39,71.8,1,0.4,0.7,+0.6,4,45,5,1,41
Nenad Tomović,SRB,DF,AÉK Lárnaka,34,1987,6.0,201,247,81.4,4243,1031,53,63,84.1,114,129,88.4,30,47,63.8,0,0.0,0.7,0.0,1,7,1,0,8
Dmytro Topalov,UKR,"DF,MF",Shakhtar,24,1998,1.9,42,55,76.4,704,188,21,23,91.3,17,22,77.3,3,7,42.9,0,0.1,0.0,-0.1,1,2,2,1,3
Vítor Tormena,BRA,DF,Braga,26,1996,5.0,323,380,85.0,6932,2502,73,87,83.9,209,224,93.3,39,61,63.9,0,0.0,0.1,0.0,1,33,0,0,27
Ferrán Torres,ESP,FW,Barcelona,22,2000,0.3,8,13,61.5,213,74,1,3,33.3,4,5,80.0,3,5,60.0,0,0.1,0.3,-0.1,1,0,1,1,0
Óliver Torres,ESP,MF,Sevilla,27,1994,5.6,201,269,74.7,3278,811,110,122,90.2,71,88,80.7,17,37,45.9,1,0.6,0.8,+0.4,10,21,9,4,41
Adama Traoré,MLI,FW,Ferencváros,27,1995,7.0,155,228,68.0,2495,757,78,105,74.3,67,88,76.1,7,17,41.2,1,0.1,0.6,+0.9,4,9,9,1,22
Charles Traore,MLI,"DF,MF",Nantes,30,1992,0.9,30,41,73.2,473,145,18,19,94.7,11,17,64.7,1,5,20.0,0,0.0,0.0,0.0,1,0,0,0,2
Hamari Traoré,MLI,DF,Rennes,30,1992,2.9,124,151,82.1,2102,861,54,57,94.7,63,73,86.3,7,16,43.8,0,0.7,0.3,-0.7,3,13,4,1,12
Gernot Trauner,AUT,DF,Feyenoord,30,1992,9.5,596,664,89.8,11633,4789,184,200,92.0,332,356,93.3,70,96,72.9,0,0.0,0.2,0.0,1,42,1,0,43
Trézéguet,EGY,"FW,MF",Trabzonspor,27,1994,5.0,167,196,85.2,2135,405,101,107,94.4,48,58,82.8,4,7,57.1,2,1.2,1.3,+0.8,12,6,8,1,15
Ivan Tričkovski,MKD,"MF,FW",AÉK Lárnaka,35,1987,2.5,53,65,81.5,948,182,28,31,90.3,19,23,82.6,6,10,60.0,0,0.2,0.1,-0.2,1,5,1,0,8
Christopher Trimmel,AUT,DF,Union Berlin,35,1987,6.1,220,326,67.5,4343,2056,101,118,85.6,80,104,76.9,38,89,42.7,0,1.5,2.0,-1.5,17,20,14,8,25
Francisco Trincão,POR,"FW,MF",Sporting CP,22,1999,4.4,100,128,78.1,1308,206,63,77,81.8,30,39,76.9,2,3,66.7,0,0.2,0.2,-0.2,5,3,2,1,9
Leandro Trossard,BEL,FW,Arsenal,27,1994,0.8,19,28,67.9,429,103,6,7,85.7,9,11,81.8,4,5,80.0,0,0.4,0.4,-0.4,3,1,1,0,3
Anatolii Trubin,UKR,GK,Shakhtar,20,2001,4.3,140,180,77.8,3947,2642,19,19,100.0,77,77,100.0,44,84,52.4,0,0.0,0.0,0.0,0,2,0,0,0
Adrien Truffert,FRA,"DF,FW",Rennes,20,2001,4.7,167,222,75.2,2642,552,81,95,85.3,73,93,78.5,7,21,33.3,1,0.4,0.2,+0.6,4,13,3,0,11
Viktor Tsyhankov,UKR,"FW,MF",Dynamo Kyiv,24,1997,5.9,143,212,67.5,1994,616,76,96,79.2,42,71,59.2,10,18,55.6,0,0.6,0.7,-0.6,3,11,8,3,19
Hüseyin Türkmen,TUR,DF,Trabzonspor,24,1998,0.5,17,20,85.0,286,74,6,6,100.0,10,11,90.9,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,2
Matt Turner,USA,GK,Arsenal,28,1994,5.0,124,167,74.3,3265,2256,28,30,93.3,55,58,94.8,39,76,51.3,0,0.0,0.0,0.0,0,4,0,0,0
