Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Iván Villar,ESP,GB,Celta Vigo,27-098,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Viti,ESP,DF,Las Palmas,27-029,1997,8,3,350,3.9,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,10,11,16,0.00,0.26,0.26,0.00,0.26,0.00,0.16,0.16,0.00,0.16
Daniel Vivian,ESP,DF,Athletic Club,25-092,1999,8,7,640,7.1,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,37,3,0.14,0.00,0.14,0.14,0.14,0.05,0.00,0.05,0.05,0.05
Iñaki Williams,GHA,AT,Athletic Club,30-122,1994,9,8,722,8.0,1,4,5,1,0,0,0,0,2.4,2.4,2.1,4.5,23,16,67,0.12,0.50,0.62,0.12,0.62,0.30,0.26,0.56,0.30,0.56
Nico Williams,ESP,AT,Athletic Club,22-095,2002,7,5,431,4.8,1,0,1,1,0,0,1,0,0.8,0.8,1.2,2.0,22,13,45,0.21,0.00,0.21,0.21,0.21,0.17,0.24,0.41,0.17,0.41
Axel Witsel,BEL,DF,Atlético Madrid,35-277,1989,4,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Lamine Yamal,ESP,AT,Barcelona,17-094,2007,9,8,720,8.0,4,5,9,4,0,0,1,0,1.8,1.8,3.9,5.8,43,44,113,0.50,0.62,1.13,0.50,1.13,0.23,0.49,0.72,0.23,0.72
Bertuğ Yıldırım,TUR,AT,Getafe,22-095,2002,7,6,447,5.0,1,0,1,1,0,0,3,0,0.7,0.7,0.6,1.4,3,8,17,0.20,0.00,0.20,0.20,0.20,0.15,0.13,0.28,0.15,0.28
Bryan Zaragoza,ESP,"AT,MT",Osasuna,23-173,2001,9,7,564,6.3,1,3,4,1,0,0,2,0,1.4,1.4,0.5,1.8,24,12,45,0.16,0.48,0.64,0.16,0.64,0.22,0.07,0.30,0.22,0.30
Igor Zubeldia,ESP,DF,Real Sociedad,27-199,1997,7,7,575,6.4,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,7,34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Martín Zubimendi,ESP,MT,Real Sociedad,25-256,1999,9,8,765,8.5,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.2,18,64,15,0.12,0.00,0.12,0.12,0.12,0.10,0.04,0.15,0.10,0.15
