Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Nnamdi Collins,GER,DF,Eint Frankfurt,20-279,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kingsley Coman,FRA,"AT,MT",Bayern Munich,28-124,1996,6,2,228,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,15,7,33,0.00,0.39,0.39,0.00,0.39,0.12,0.17,0.29,0.12,0.29
Sirlord Conteh,GER,"AT,DF",Heidenheim,28-098,1996,5,0,150,1.7,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.1,7,5,16,0.00,0.60,0.60,0.00,0.60,0.00,0.67,0.67,0.00,0.67
Yan Couto,BRA,DF,Dortmund,22-134,2002,4,2,236,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.4,11,15,25,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.14,0.01,0.14
Tomáš Čvančara,CZE,"AT,MT",Gladbach,24-063,2000,6,1,142,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,4,3,8,0.63,0.00,0.63,0.63,0.63,0.20,0.07,0.28,0.20,0.28
Mahmoud Dahoud,GER,MT,Eint Frankfurt,28-288,1996,3,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Bence Dárdai,GER,AT,Wolfsburg,18-265,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.00,0.80
Lukas Daschner,GER,"MT,AT",Bochum,26-014,1998,5,2,207,2.3,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,3,4,5,0.43,0.00,0.43,0.43,0.43,0.27,0.23,0.50,0.27,0.50
Alphonso Davies,CAN,DF,Bayern Munich,23-348,2000,5,4,387,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,16,31,36,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.12,0.06,0.12
Olivier Deman,BEL,DF,Werder Bremen,24-192,2000,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.31,0.00,0.31
Ermedin Demirović,BIH,AT,Stuttgart,26-204,1998,6,4,350,3.9,5,0,5,5,0,1,0,0,2.4,1.5,0.3,1.8,1,8,18,1.29,0.00,1.29,1.29,1.29,0.62,0.09,0.71,0.38,0.47
Justin Diehl,GER,DF,Stuttgart,19-323,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,0,9,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Eric Dier,ENG,DF,Bayern Munich,30-274,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Junior Dina Ebimbe,FRA,"AT,MT",Eint Frankfurt,23-329,2000,3,1,113,1.3,0,1,1,0,0,0,0,0,0.6,0.6,0.9,1.6,0,2,11,0.00,0.80,0.80,0.00,0.80,0.50,0.75,1.26,0.50,1.26
