Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Jaydee Canvot,FRA,DF,Toulouse,18-078,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pierrick Capelle,FRA,MT,Angers,37-183,1987,4,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Maxence Caqueret,FRA,MT,Lyon,24-243,2000,7,5,475,5.3,0,0,0,0,0,0,0,0,0.6,0.6,0.4,0.9,13,42,15,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18
Valentin Carboni,ARG,"MT,AT",Marseille,19-224,2005,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14
Josué Casimir,FRA,"AT,DF",Le Havre,23-021,2001,6,5,406,4.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,13,12,22,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.19,0.14,0.19
Cristian Cásseres Jr.,VEN,MT,Toulouse,24-269,2000,7,6,510,5.7,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,5,31,5,0.00,0.18,0.18,0.00,0.18,0.04,0.03,0.08,0.04,0.08
Jean-Charles Castelletto,CMR,DF,Nantes,29-263,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,14,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Brendan Chardonnet,FRA,DF,Brest,29-298,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,6,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Jhoanner Chávez,ECU,DF,Lens,22-173,2002,5,5,392,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.6,0.8,7,4,24,0.23,0.00,0.23,0.23,0.23,0.06,0.13,0.19,0.06,0.19
Théo Chennahi,FRA,DF,Montpellier,19-252,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sidiki Cherif,FRA,AT,Angers,17-305,2006,5,3,282,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,8,2,14,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.19,0.14,0.19
Rayan Cherki,FRA,MT,Lyon,21-059,2003,3,1,110,1.2,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,8,12,9,0.82,0.00,0.82,0.82,0.82,0.48,0.17,0.65,0.48,0.65
Lucas Chevalier,FRA,GB,Lille,22-344,2001,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pedro Chirivella,ESP,MT,Nantes,27-145,1997,7,7,605,6.7,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,3,49,6,0.00,0.15,0.15,0.00,0.15,0.02,0.04,0.06,0.02,0.06
Joris Chotard,FRA,MT,Montpellier,23-021,2001,4,4,309,3.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,22,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Jonathan Clauss,FRA,"MT,DF",Nice,32-020,1992,7,6,538,6.0,1,2,3,1,0,0,0,0,0.6,0.6,1.5,2.2,13,19,28,0.17,0.33,0.50,0.17,0.50,0.11,0.25,0.36,0.11,0.36
Marcus Coco,FRA,DF,Nantes,28-113,1996,5,3,277,3.1,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,6,13,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Derek Cornelius,CAN,DF,Marseille,26-325,1997,5,5,407,4.5,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.2,2,15,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Pierre Cornud,FRA,DF,Saint-Étienne,27-308,1996,3,3,208,2.3,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,2,8,9,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
