Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-259,2000,9,6,511,5.7,3,0,3,3,0,0,1,0,1.7,1.7,0.2,1.9,13,6,29,0.53,0.00,0.53,0.53,0.53,0.31,0.03,0.34,0.31,0.34
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-266,1995,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,28,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-165,2002,5,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Selim Amallah,MAR,MF,Valladolid,La Liga,27-336,1996,7,6,456,5.1,1,1,2,1,0,0,1,0,1.6,1.6,0.1,1.8,9,22,10,0.20,0.20,0.39,0.20,0.39,0.32,0.03,0.35,0.32,0.35
Amath,SEN,"FW,DF",Valladolid,La Liga,28-092,1996,6,5,293,3.3,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.6,7,10,17,0.00,0.31,0.31,0.00,0.31,0.11,0.06,0.17,0.11,0.17
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-221,1994,5,4,344,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,9,13,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-077,2003,2,1,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-251,1998,6,5,467,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,13,22,20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-248,1996,7,7,627,7.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,25,20,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27-355,1996,5,5,382,4.2,2,2,4,1,1,1,2,1,1.1,0.3,1.1,1.5,6,26,8,0.47,0.47,0.94,0.24,0.71,0.26,0.27,0.53,0.08,0.35
