Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Alisson,GK,Brazil,31,1992,4.0,121,134,90.3,2606,1650,38,38,100.0,61,61,100.0,22,34,64.7,0,0.0,0.0,0.0,0,1,0,0,0
Miguel Almirón,FW,Paraguay,29,1994,2.0,43,47,91.5,630,116,23,24,95.8,18,18,100.0,1,3,33.3,0,0.1,0.0,-0.1,5,4,0,0,5
Roberto Alvarado,FW,Mexico,25,1998,0.1,1,5,20.0,12,13,1,2,50.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Edson Álvarez,MF,Mexico,26,1997,0.3,19,23,82.6,271,75,10,11,90.9,8,9,88.9,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,3
Julián Álvarez,FW,Argentina,24,2000,3.8,54,63,85.7,831,144,32,37,86.5,18,20,90.0,3,4,75.0,0,0.0,0.2,0.0,0,3,3,0,6
Michael Amir Murillo,DF,Panama,27,1996,3.5,120,160,75.0,2283,853,52,63,82.5,49,55,89.1,17,28,60.7,0,0.0,0.2,0.0,2,16,5,3,15
Karoy Anderson,MF,Jamaica,19,2004,0.3,17,20,85.0,251,84,8,9,88.9,9,10,90.0,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,2
Kervin Andrade,MF,Venezuela,18,2005,0.2,7,10,70.0,93,57,5,5,100.0,2,4,50.0,0,0,,1,0.5,0.2,+0.5,1,1,0,0,2
José Andrés Martínez,MF,Venezuela,29,1994,4.0,144,175,82.3,2743,996,58,70,82.9,74,83,89.2,11,17,64.7,0,0.1,0.1,-0.1,3,23,2,0,23
Wilker Ángel,DF,Venezuela,30,1993,1.1,36,40,90.0,845,397,6,7,85.7,24,25,96.0,6,8,75.0,0,0.0,0.0,0.0,0,3,1,0,3
Michail Antonio,FW,Jamaica,33,1990,2.6,36,56,64.3,687,126,14,21,66.7,14,22,63.6,6,8,75.0,0,0.1,0.0,-0.1,2,3,1,0,3
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,57,84,67.9,719,200,34,40,85.0,13,23,56.5,3,7,42.9,0,0.1,0.1,-0.1,2,4,4,0,8
Jon Aramburu,DF,Venezuela,21,2002,2.9,91,118,77.1,1600,663,43,48,89.6,37,46,80.4,8,17,47.1,2,0.5,0.2,+1.5,2,16,1,1,11
Guilherme Arana,DF,Brazil,26,1997,2.0,122,146,83.6,1859,498,62,68,91.2,53,60,88.3,5,8,62.5,0,0.0,0.1,0.0,0,7,3,2,11
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,71,104,68.3,1224,352,37,52,71.2,25,36,69.4,7,9,77.8,1,0.6,0.6,+0.4,6,4,9,4,12
Miguel Araujo,DF,Peru,29,1994,1.6,42,69,60.9,778,277,16,20,80.0,19,30,63.3,6,17,35.3,0,0.0,0.0,0.0,0,2,0,0,2
Ronald Araújo,DF,Uruguay,24,1999,2.9,132,165,80.0,2895,950,32,39,82.1,76,85,89.4,24,40,60.0,1,0.9,0.5,+0.1,1,17,0,0,14
Alex Arce,FW,Paraguay,28,1995,1.7,18,34,52.9,219,39,11,20,55.0,4,9,44.4,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,2
Gabriel Arias,GK,Chile,36,1987,1.0,29,44,65.9,861,652,4,4,100.0,18,18,100.0,7,22,31.8,0,0.0,0.0,0.0,0,2,0,0,0
