Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
César Huerta,"FW,MF",Mexico,23,2000,0.9,5,5.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José Hurtado,DF,Ecuador,22,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mauricio Isla,DF,Chile,35,1988,3.0,2,0.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alistair Johnston,DF,Canada,25,1998,5.7,4,0.70,3,1,0,0,0,0,1,0.18,0,1,0,0,0,0
Julio José González,GK,Mexico,32,1991,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vinicius Júnior,FW,Brazil,23,2000,2.8,6,2.16,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Leonel Justiniano,MF,Bolivia,31,1992,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
Kaku,"FW,MF",Paraguay,29,1995,0.4,4,10.29,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Richard King,DF,Jamaica,22,2001,0.0,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ismaël Koné,MF,Canada,21,2002,3.5,8,2.26,6,0,0,1,1,0,1,0.28,0,0,0,1,0,0
Luca de la Torre,MF,United States,25,1998,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matías Lacava,MF,Venezuela,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gianluca Lapadula,FW,Peru,33,1990,2.2,2,0.93,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Cyle Larin,FW,Canada,28,1995,4.4,11,2.50,9,0,1,0,1,0,1,0.23,1,0,0,0,0,0
Richie Laryea,"DF,FW",Canada,29,1995,4.1,5,1.23,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Ariel Lassiter,DF,Costa Rica,29,1994,1.5,1,0.67,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Joël Latibeaudière,"DF,MF",Jamaica,24,2000,2.9,2,0.69,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Greg Leigh,DF,Jamaica,29,1994,2.0,3,1.50,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Dexter Lembikisa,DF,Jamaica,20,2003,2.0,1,0.51,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Kahiser Lenis,MF,Panama,23,2000,0.5,3,5.74,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Jefferson Lerma,MF,Colombia,29,1994,4.7,6,1.28,3,0,0,1,0,2,1,0.21,1,0,0,0,0,0
Igor Lichnovsky,DF,Chile,29,1994,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giovani Lo Celso,MF,Argentina,27,1996,1.7,8,5.63,4,0,0,2,1,1,4,2.81,3,0,0,1,0,0
Marcos López,DF,Peru,24,1999,2.5,2,0.81,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Damion Lowe,"MF,DF",Jamaica,30,1993,1.8,5,2.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jhon Lucumí,DF,Colombia,25,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José Luis Rodríguez,MF,Panama,25,1998,0.9,3,3.25,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Douglas Luiz,MF,Brazil,25,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexis Mac Allister,MF,Argentina,25,1998,4.9,13,2.64,8,0,1,1,2,1,2,0.41,2,0,0,0,0,0
Deiver Machado,DF,Colombia,30,1993,0.5,2,4.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Darwin Machís,FW,Venezuela,30,1993,1.4,5,3.63,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Warren Madrigal,"FW,MF",Costa Rica,19,2004,2.1,1,0.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gabriel Magalhães,DF,Brazil,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Makoun,DF,Venezuela,23,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jesús Manuel Sagredo,DF,Bolivia,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José María Giménez,DF,Uruguay,29,1995,3.4,2,0.60,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0
Guillermo Maripán,DF,Chile,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marquinhos,DF,Brazil,29,1994,4.0,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alex Marshall,MF,Jamaica,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gabriel Martinelli,FW,Brazil,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Guillermo Martínez Ayala,"FW,MF",Mexico,28,1995,0.9,3,3.51,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Cristian Martínez,MF,Panama,26,1997,3.0,13,4.29,10,0,0,0,2,1,1,0.33,1,0,0,0,0,0
Emiliano Martínez,GK,Argentina,31,1992,6.3,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Lautaro Martínez,FW,Argentina,26,1997,2.5,3,1.35,0,0,2,0,1,0,1,0.45,0,0,1,0,0,0
Lisandro Martínez,DF,Argentina,26,1998,5.2,1,0.21,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Lucas Martínez Quarta,DF,Argentina,27,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Weston McKennie,MF,United States,25,1998,2.9,5,1.75,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
