Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Nicolás De La Cruz,MF,Uruguay,26,1997,5,352,70,65.2,3.9,4,80,0,1,31,0,2.00,7,2,+5,+1.28,+0.32,5.7,1.7,+4.0,+1.03,+0.84
Rodrigo De Paul,MF,Argentina,29,1994,5,480,96,84.2,5.3,5,96,5,0,,1,2.60,7,1,+6,+1.13,-0.87,9.6,4.8,+4.8,+0.95,-0.66
Ángel Di María,"MF,FW",Argentina,35,1988,5,354,71,62.1,3.9,4,84,0,1,18,1,3.00,6,0,+6,+1.53,+0.69,7.2,2.6,+4.6,+1.16,+0.19
Ismael Díaz,MF,Panama,26,1997,1,6,6,1.7,0.1,0,,0,1,6,3,0.00,0,1,-1,-15.00,-14.24,0.0,0.8,-0.8,-11.83,-11.39
Luis Díaz,FW,Colombia,27,1997,6,507,85,88.9,5.6,6,85,1,0,,0,2.17,10,2,+8,+1.42,-0.01,7.8,2.7,+5.1,+0.91,-0.23
Paulo Díaz,DF,Chile,29,1994,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,0,1,-1,-0.50,-0.50,1.1,3.5,-2.3,-1.17,-0.61
Kaheim Dixon,"MF,FW",Jamaica,19,2004,3,64,21,23.7,0.7,0,,0,3,21,0,0.00,0,4,-4,-5.63,-4.75,0.2,2.1,-1.9,-2.72,-2.02
Alexander Domínguez,GK,Ecuador,36,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,5,4,+1,+0.25,,5.4,4.2,+1.2,+0.29,
Jhon Durán,FW,Colombia,20,2003,1,14,14,2.5,0.2,0,,0,1,14,5,3.00,0,0,0,0.00,-1.46,0.0,0.0,0.0,-0.09,-1.04
Rodrigo Echeverría,MF,Chile,28,1995,3,177,59,65.6,2.0,2,86,1,1,6,0,0.67,0,1,-1,-0.51,-0.51,0.7,3.5,-2.8,-1.40,-1.26
Éderson,MF,Brazil,24,1999,1,18,18,5.0,0.2,0,,0,1,18,3,1.00,0,0,0,0.00,-0.79,0.1,0.5,-0.4,-2.17,-3.11
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,4.7,2.1,+2.6,+0.88,
Julio Enciso,"FW,MF",Paraguay,20,2004,3,251,84,93.0,2.8,3,84,1,0,,0,0.00,3,8,-5,-1.79,-1.79,2.8,4.7,-2.0,-0.70,-0.17
