Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Jordi Cortizo,FW,Mexico,27,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Aldo Corzo,DF,Peru,34,1989,1.0,0,0,0,3,1,0,0,0,3,0,0,0,2,2,1,66.7
Maxime Crépeau,GK,Canada,29,1994,5.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
Andrés Cubas,MF,Paraguay,27,1996,1.9,1,1,0,3,4,0,0,2,7,0,1,0,12,0,0,
Héctor Cuellar,DF,Bolivia,23,2000,2.5,0,0,0,3,1,0,4,5,5,0,0,0,15,6,4,60.0
Jaume Cuéllar,FW,Bolivia,22,2001,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,50.0
Carlos Cuesta,DF,Colombia,24,1999,5.3,1,0,0,3,2,0,0,3,7,0,0,0,11,8,4,66.7
Christian Cueva,"MF,FW",Peru,32,1991,0.3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0.0
Danilo,DF,Brazil,32,1991,4.0,0,0,0,4,0,0,4,7,2,0,0,0,12,3,3,50.0
Jonathan David,"MF,FW",Canada,24,2000,5.0,1,0,0,6,12,1,2,0,3,0,0,0,25,3,5,37.5
Alphonso Davies,DF,Canada,23,2000,5.1,1,0,0,3,4,0,15,6,12,0,0,0,42,2,2,50.0
Víctor Dávila,FW,Chile,26,1997,2.6,1,0,0,3,6,1,6,0,2,0,0,0,6,7,4,63.6
Erick Davis,DF,Panama,32,1991,3.9,0,0,0,6,2,0,29,3,5,0,0,0,19,4,3,57.1
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,1.8,0,0,0,3,1,0,18,0,2,0,0,0,5,2,4,33.3
Luc De Fougerolles,DF,Canada,18,2005,0.7,1,0,0,1,1,0,0,0,1,0,0,0,2,2,4,33.3
Nicolás De La Cruz,MF,Uruguay,26,1997,3.9,2,0,0,10,15,0,22,2,3,0,0,0,19,4,5,44.4
Rodrigo De Paul,MF,Argentina,29,1994,5.3,1,0,0,7,11,1,6,3,8,0,1,0,28,0,1,0.0
