Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Gabriel Boschilia,BRA,"MF,FW",Coritiba,26,1996,3.8,1,15,5,33.3,3.92,1.31,0.07,0.20,24.1,2,0,0,1.1,1.1,0.07,-0.1,-0.1
Lucas Braga,BRA,"DF,FW",Santos,26,1996,22.1,0,11,1,9.1,0.50,0.05,0.00,0.00,15.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
David Braz,BRA,DF,Fluminense,35,1987,9.6,0,10,3,30.0,1.04,0.31,0.00,0.00,18.7,3,0,0,0.7,0.7,0.07,-0.7,-0.7
Brenno,BRA,GK,Grêmio,23,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Breno,BRA,MF,América (MG),19,2003,12.9,1,22,5,22.7,1.70,0.39,0.05,0.20,22.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Breno,BRA,MF,Botafogo (RJ),22,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Breno,BRA,FW,Palmeiras,27,1996,15.2,5,49,24,49.0,3.23,1.58,0.10,0.21,14.9,0,0,0,6.7,6.7,0.14,-1.7,-1.7
Emanuel Brítez,ARG,DF,Fortaleza,30,1992,30.7,0,20,3,15.0,0.65,0.10,0.00,0.00,17.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0
Bruninho,BRA,"FW,MF",Red Bull Bragantino,19,2003,7.9,2,21,6,28.6,2.64,0.76,0.10,0.33,17.1,3,0,0,2.7,2.7,0.13,-0.7,-0.7
Fabrício Bruno,BRA,DF,Flamengo,26,1996,34.0,0,16,4,25.0,0.47,0.12,0.00,0.00,15.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Vitor Bueno,BRA,"MF,FW",Ath Paranaense,28,1994,23.1,5,63,17,27.0,2.73,0.74,0.03,0.12,26.8,11,3,3,5.3,3.1,0.05,-0.3,-1.1
Esteban Burgos,ARG,DF,América (MG),31,1992,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabricio Bustos,ARG,DF,Internacional,26,1996,27.8,3,17,6,35.3,0.61,0.22,0.18,0.50,23.6,0,0,0,1.0,1.0,0.06,+2.0,+2.0
Rafael Cabral,BRA,GK,Cruzeiro,32,1990,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cacá,BRA,DF,Ath Paranaense,23,1999,18.8,2,9,2,22.2,0.48,0.11,0.22,1.00,11.6,0,0,0,1.1,1.1,0.12,+0.9,+0.9
Cadu,BRA,DF,Santos,20,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Caetano,BRA,DF,Corinthians,23,1999,13.4,0,3,0,0.0,0.22,0.00,0.00,,8.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Jonathan Cafu,BRA,"FW,MF",Cuiabá,31,1991,19.0,0,17,5,29.4,0.90,0.26,0.00,0.00,16.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5
Júnior Caiçara,BRA,DF,Santos,33,1989,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rodrigo Caio,BRA,"MF,DF",Flamengo,29,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Caíque,BRA,GK,Grêmio,25,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Calebe,BRA,"MF,FW",Fortaleza,22,2000,16.4,2,39,15,38.5,2.37,0.91,0.05,0.13,21.0,7,0,0,3.0,3.0,0.08,-1.0,-1.0
Jonathan Calleri,ARG,FW,São Paulo,29,1993,15.0,9,44,20,45.5,2.93,1.33,0.16,0.35,11.4,0,2,2,8.5,6.9,0.16,+0.5,+0.1
Patric Calmon PK,BRA,DF,Cuiabá,28,1994,5.8,0,2,1,50.0,0.35,0.17,0.00,0.00,21.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Guilherme Camacho,BRA,MF,Santos,32,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathan Camargo,BRA,MF,Red Bull Bragantino,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gustavo Campanharo,BRA,MF,Internacional,30,1992,7.7,0,4,3,75.0,0.52,0.39,0.00,0.00,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Camilo Cándido,URU,DF,Bahia,27,1995,13.8,1,10,4,40.0,0.72,0.29,0.10,0.25,25.1,1,0,0,0.4,0.4,0.04,+0.6,+0.6
Luan Cândido,BRA,DF,Red Bull Bragantino,21,2001,12.0,1,29,12,41.4,2.41,1.00,0.03,0.08,20.5,6,0,0,1.8,1.8,0.06,-0.8,-0.8
Germán Cano,ARG,FW,Fluminense,34,1988,27.4,10,81,33,40.7,2.96,1.20,0.12,0.30,20.3,0,0,1,10.0,9.2,0.11,0.0,+0.8
Agustín Canobbio,URU,"FW,MF",Ath Paranaense,24,1998,23.5,3,67,29,43.3,2.85,1.23,0.04,0.10,20.1,4,0,0,5.5,5.5,0.08,-2.5,-2.5
Víctor Cantillo,COL,MF,Corinthians,29,1993,3.0,0,3,2,66.7,1.02,0.68,0.00,0.00,30.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Manuel Capasso,ARG,DF,Vasco da Gama,26,1996,6.2,0,1,0,0.0,0.16,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Juninho Capixaba,BRA,DF,Red Bull Bragantino,25,1997,31.9,2,51,21,41.2,1.60,0.66,0.04,0.10,20.2,2,0,0,2.9,2.9,0.06,-0.9,-0.9
Gabriel Carabajal,ARG,MF,Vasco da Gama,31,1991,1.4,0,4,0,0.0,2.95,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Felipe Carballo,URU,MF,Grêmio,26,1996,17.1,1,19,5,26.3,1.11,0.29,0.05,0.20,16.8,0,0,0,1.5,1.5,0.08,-0.5,-0.5
Johnny Cardoso,USA,MF,Internacional,21,2001,17.9,2,15,8,53.3,0.84,0.45,0.13,0.25,18.6,0,0,0,1.1,1.1,0.08,+0.9,+0.9
Ed Carlos,BRA,"MF,FW",Santos,21,2001,0.4,0,1,0,0.0,2.50,0.00,0.00,,31.5,0,0,0,0.0,0.0,0.02,0.0,0.0
João Carlos,BRA,GK,Cuiabá,34,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ryan Carlos,BRA,DF,Bahia,20,2002,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Alan Carvalho,CHN,MF,Fluminense,33,1989,0.5,1,1,1,100.0,2.00,2.00,1.00,1.00,5.1,0,0,0,0.6,0.6,0.63,+0.4,+0.4
Cássio,BRA,GK,Corinthians,35,1987,36.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luciano Castán,BRA,DF,Cruzeiro,33,1989,35.7,1,24,8,33.3,0.67,0.22,0.04,0.13,11.7,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Iury de Castilho,BRA,FW,Cuiabá,27,1995,4.4,0,12,4,33.3,2.71,0.90,0.00,0.00,18.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Matheus Cavichioli,BRA,GK,América (MG),36,1986,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
