Player,Nation,Pos,Squad,Born,Seasons
Calebe,BRA,"MF,FW",Fortaleza,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jonathan Calleri,ARG,FW,São Paulo,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Patric Calmon PK,BRA,DF,Cuiabá,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Guilherme Camacho,BRA,MF,Santos,1990,{'2023': ['Brasil2023SerieA']}
Nathan Camargo,BRA,MF,Red Bull Bragantino,2005,{'2023': ['Brasil2023SerieA']}
Gustavo Campanharo,BRA,MF,Internacional,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Camilo Cándido,URU,DF,Bahia,1995,{'2023': ['Brasil2023SerieA']}
Luan Cândido,BRA,DF,Red Bull Bragantino,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Germán Cano,ARG,FW,Fluminense,1988,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Agustín Canobbio,URU,"FW,MF",Ath Paranaense,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Víctor Cantillo,COL,MF,Corinthians,1993,{'2023': ['Brasil2023SerieA']}
Manuel Capasso,ARG,DF,Vasco da Gama,1996,{'2023': ['Brasil2023SerieA']}
Juninho Capixaba,BRA,DF,Red Bull Bragantino,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gabriel Carabajal,ARG,MF,Vasco da Gama,1991,{'2023': ['Brasil2023SerieA']}
Felipe Carballo,URU,MF,Grêmio,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Johnny Cardoso,USA,MF,Internacional,2001,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Ed Carlos,BRA,"MF,FW",Santos,2001,{'2023': ['Brasil2023SerieA']}
João Carlos,BRA,GK,Cuiabá,1988,{'2023': ['Brasil2023SerieA']}
Ryan Carlos,BRA,DF,Bahia,2002,{'2023': ['Brasil2023SerieA']}
Alan Carvalho,CHN,MF,Fluminense,1989,{'2023': ['Brasil2023SerieA']}
Cássio,BRA,GK,Corinthians,1987,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Luciano Castán,BRA,DF,Cruzeiro,1989,{'2023': ['Brasil2023SerieA']}
Iury de Castilho,BRA,FW,Cuiabá,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus Cavichioli,BRA,GK,América (MG),1986,{'2023': ['Brasil2023SerieA']}
Juan Cazares,ECU,"MF,FW",América (MG),1992,{'2023': ['Brasil2023SerieA']}
Brayan Ceballos,COL,DF,Fortaleza,2001,"{'2023': ['Brasil2023SerieA'], '2024-2025': ['Europa League']}"
Pablo Ceppelini,URU,MF,Cuiabá,1991,{'2023': ['Brasil2023SerieA']}
Murilo Cerqueira,BRA,DF,Palmeiras,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Ricardo Cerqueira,BRA,MF,Cuiabá,2002,{'2023': ['Brasil2023SerieA']}
Júlio César,BRA,DF,América (MG),2003,{'2023': ['Brasil2023SerieA']}
Reynaldo Cesar Moraes,BRA,DF,Cruzeiro,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Kayky Chagas,BRA,"FW,MF",Bahia,2003,{'2023': ['Brasil2023SerieA']}
Jhon Chancellor,VEN,DF,Coritiba,1992,{'2023': ['Brasil2023SerieA']}
Gabriel Chapecó,BRA,GK,Grêmio,2000,{'2023': ['Brasil2023SerieA']}
Gabriel Chaves,BRA,"FW,MF",Vasco da Gama,2001,{'2023': ['Brasil2023SerieA']}
Jhoanner Chávez,ECU,"DF,MF",Bahia,2002,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Chiqueti,BRA,MF,Ath Paranaense,2005,{'2023': ['Brasil2023SerieA']}
Christian,BRA,"MF,FW",Ath Paranaense,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Cipriano,BRA,DF,Red Bull Bragantino,2002,{'2023': ['Brasil2023SerieA']}
Marcelo Cirino,BRA,"FW,MF",Ath Paranaense,1992,{'2023': ['Brasil2023SerieA']}
Léo Cittadini,BRA,MF,Bahia,1994,{'2023': ['Brasil2023SerieA']}
Mateus Claus,BRA,GK,Bahia,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Clayson,BRA,"FW,MF",Cuiabá,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Mateus Cocão,BRA,MF,Vasco da Gama,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Philippe Costa,BRA,FW,Goiás,2000,{'2023': ['Brasil2023SerieA']}
Talles Costa,BRA,"MF,FW",São Paulo,2002,{'2023': ['Brasil2023SerieA']}
Lucas Crispim,BRA,"MF,DF",Fortaleza,1994,{'2023': ['Brasil2023SerieA']}
Franco Cristaldo,ARG,"MF,FW",Grêmio,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Tomás Cuello,ARG,"MF,FW",Ath Paranaense,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Víctor Cuesta,ARG,DF,Botafogo (RJ),1988,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Cuiabano,BRA,"DF,MF",Grêmio,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucas Cunha,BRA,DF,Red Bull Bragantino,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus Cunha,BRA,GK,Flamengo,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Ian Custódio,BRA,DF,Palmeiras,2003,{'2023': ['Brasil2023SerieA']}
João Dalla Corte,BRA,DF,Internacional,2006,{'2023': ['Brasil2023SerieA']}
Danielzinho,BRA,"FW,MF",Bahia,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Danielzinho,BRA,FW,Ath Paranaense,2002,{'2023': ['Brasil2023SerieA']}
David,BRA,"FW,MF",São Paulo,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Giorgian De Arrascaeta,URU,"MF,FW",Flamengo,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Sergio Antonio De Luiz Junior,BRA,"MF,DF",Vasco da Gama,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Denilson,BRA,MF,Cuiabá,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Denzel,BRA,FW,Goiás,2003,{'2023': ['Brasil2023SerieA']}
Deyverson,BRA,FW,Cuiabá,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Leonel Di Plácido,ARG,DF,Botafogo (RJ),1994,{'2023': ['Brasil2023SerieA']}
Gabriel Dias,BRA,DF,Vasco da Gama,1994,{'2023': ['Brasil2023SerieA']}
Jean Dias,BRA,"FW,MF",Internacional,1990,{'2023': ['Brasil2023SerieA']}
Luan Dias,BRA,"MF,FW",Santos,1997,{'2023': ['Brasil2023SerieA']}
Matheus Dias,BRA,"MF,FW",Internacional,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Primeira Liga']}"
Diego,BRA,DF,São Paulo,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Dieguinho,BRA,"DF,FW",Goiás,1995,{'2023': ['Brasil2023SerieA']}
Diogo,BRA,"FW,MF",Coritiba,1996,{'2023': ['Brasil2023SerieA']}
Dodi,BRA,MF,Santos,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Dodô,BRA,DF,Atlético Mineiro,1992,{'2023': ['Brasil2023SerieA']}
Dodô,BRA,"MF,FW",Goiás,2001,{'2023': ['Brasil2023SerieA']}
Thiago Dombroski,BRA,DF,Coritiba,2002,{'2023': ['Brasil2023SerieA']}
Halerrandrio dos Santos,BRA,MF,Goiás,2006,{'2023': ['Brasil2023SerieA']}
Thiago dos Santos,BRA,"DF,MF",Fluminense,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Henrique Dourado,BRA,FW,Cruzeiro,1989,{'2023': ['Brasil2023SerieA']}
David Duarte,BRA,DF,Bahia,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Dudu,BRA,MF,Ath Paranaense,2006,{'2023': ['Brasil2023SerieA']}
Dudu,BRA,FW,Palmeiras,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Éberth,BRA,FW,Coritiba,2003,{'2023': ['Brasil2023SerieA']}
Edenílson,BRA,"MF,FW",Atlético Mineiro,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Eder,BRA,DF,América (MG),1995,{'2023': ['Brasil2023SerieA']}
EDU,BRA,DF,Goiás,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Edu,BRA,"FW,MF",Coritiba,1993,{'2023': ['Brasil2023SerieA']}
Carlos Eduardo,BRA,"MF,FW",Atlético Mineiro,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Carlos Eduardo,BRA,MF,Botafogo (RJ),1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Eguinaldo,BRA,"FW,MF",Vasco da Gama,2004,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League']}"
Rafael Elias,BRA,FW,Cruzeiro,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucas Emmanuel,BRA,FW,Goiás,2000,{'2023': ['Brasil2023SerieA']}
Leandro Emmanuel Martínez,ARG,MF,América (MG),1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Alan Empereur,BRA,DF,Cuiabá,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Endrick,BRA,FW,Palmeiras,2006,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['La Liga', 'Champions League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Erick,BRA,MF,Ath Paranaense,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Erison,BRA,"FW,MF",São Paulo,1999,{'2023': ['Brasil2023SerieA']}
Gonzalo Escobar,ARG,DF,Fortaleza,1997,{'2023': ['Brasil2023SerieA']}
Lucas Esquivel,ARG,DF,Ath Paranaense,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Estevão,BRA,MF,Internacional,2002,{'2023': ['Brasil2023SerieA']}
Estevão,BRA,DF,Palmeiras,2006,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Vitor Eudes,BRA,GK,Fluminense,1998,{'2023': ['Brasil2023SerieA']}
Lucas Evangelista,BRA,MF,Red Bull Bragantino,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Everaldo,BRA,"FW,MF",América (MG),1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Éverson,BRA,GK,Atlético Mineiro,1990,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Everton,BRA,"FW,MF",Grêmio,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bruno Fabiano Alves,BRA,DF,Grêmio,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fabinho,BRA,MF,Palmeiras,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fábio,BRA,GK,Fluminense,1980,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fagner,BRA,DF,Corinthians,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Willian Farias,BRA,MF,Coritiba,1989,{'2023': ['Brasil2023SerieA']}
Luiz Felipe,BRA,DF,Santos,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marcos Felipe,BRA,GK,Bahia,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus Felipe,BRA,DF,Ath Paranaense,1998,{'2023': ['Brasil2023SerieA']}
Danilo Fernandes,BRA,GK,Bahia,1988,{'2023': ['Brasil2023SerieA']}
Lucas Fernandes,BRA,MF,Botafogo (RJ),1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus Fernandes,BRA,MF,Red Bull Bragantino,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nathan Fernandes,BRA,"FW,MF",Grêmio,2005,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gatito Fernández,PAR,GK,Botafogo (RJ),1988,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Leonardo Fernández,URU,"MF,FW",Fluminense,1998,{'2023': ['Brasil2023SerieA']}
Rodrigo Fernández,URU,MF,Santos,1996,{'2023': ['Brasil2023SerieA']}
Fernandinho,BRA,MF,Ath Paranaense,1985,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nahuel Ferraresi,VEN,FW,São Paulo,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Ferreira,BRA,"FW,MF",Grêmio,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Sebastián Ferreira,PAR,"FW,MF",Vasco da Gama,1998,{'2023': ['Brasil2023SerieA']}
Figueiredo,BRA,"FW,MF",Vasco da Gama,2001,{'2023': ['Brasil2023SerieA']}
Tobias Figueiredo,POR,DF,Fortaleza,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus França,BRA,"MF,FW",Flamengo,2004,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Premier League']}"
Alan Franco,ECU,"MF,FW",Atlético Mineiro,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Alan Franco,ARG,DF,São Paulo,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fransérgio,BRA,MF,Coritiba,1990,{'2023': ['Brasil2023SerieA']}
Marlon Freitas,BRA,MF,Botafogo (RJ),1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bruno Fuchs,BRA,DF,Atlético Mineiro,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Julio Furch,ARG,"FW,MF",Santos,1989,{'2023': ['Brasil2023SerieA']}
Gabriel,BRA,DF,Bahia,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gabriel,BRA,MF,Internacional,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gabriel,BRA,MF,Botafogo (RJ),1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Eduardo Gabriel,BRA,DF,Santos,1996,{'2023': ['Brasil2023SerieA']}
Thalisson Gabriel,BRA,DF,Coritiba,2002,{'2023': ['Brasil2023SerieA']}
Zé Gabriel,BRA,MF,Vasco da Gama,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Ighor Gabryel,BRA,FW,América (MG),2003,{'2023': ['Brasil2023SerieA']}
Matías Galarza,PAR,MF,Vasco da Gama,2002,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Belgian Pro League']}"
Thiago Galhardo,BRA,"FW,MF",Fortaleza,1989,{'2023': ['Brasil2023SerieA']}
JP Galvão,BRA,DF,Botafogo (RJ),2001,{'2023': ['Brasil2023SerieA']}
Ganso,BRA,MF,Fluminense,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Maurício Garcez,BRA,"MF,FW",Coritiba,1997,{'2023': ['Brasil2023SerieA']}
García,BRA,DF,Palmeiras,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Primeira Liga']}"
Bryan García,ECU,MF,Ath Paranaense,2001,{'2023': ['Brasil2023SerieA']}
Luan Garcia,BRA,DF,Palmeiras,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rafael Gava,BRA,MF,Cuiabá,1993,{'2023': ['Brasil2023SerieA']}
Pedro Geromel,BRA,DF,Grêmio,1985,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gil,BRA,DF,Corinthians,1987,{'2023': ['Brasil2023SerieA']}
Gilberto,BRA,FW,Cruzeiro,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Giovane,BRA,FW,Corinthians,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Giovani,BRA,FW,Palmeiras,2004,{'2023': ['Brasil2023SerieA']}
Giovanni,BRA,"MF,DF",Fluminense,2002,{'2023': ['Brasil2023SerieA']}
Bruno Gomes,BRA,MF,Coritiba,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Igor Gomes,BRA,"MF,FW",Atlético Mineiro,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Igor Gomes,BRA,DF,Internacional,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marlon Gomes,BRA,"MF,FW",Vasco da Gama,2003,"{'2023': ['Brasil2023SerieA'], '2024-2025': ['Champions League']}"
William Gomes,BRA,FW,São Paulo,2006,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gustavo Gómez,PAR,DF,Palmeiras,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Sebastián Gómez,COL,MF,Coritiba,1996,{'2023': ['Brasil2023SerieA']}
Aloísio dos Santos Gonçalves,CHN,"FW,MF",América (MG),1988,{'2023': ['Brasil2023SerieA']}
Diego Gonçalves,BRA,"FW,MF",Goiás,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Mateus Gonçalves Martins,BRA,"MF,FW",América (MG),1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus Gonçalves,BRA,"FW,MF",Flamengo,2005,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Yony González,COL,"FW,MF",Fluminense,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Roger Guedes,BRA,"FW,MF",Corinthians,1996,{'2023': ['Brasil2023SerieA']}
Guga,BRA,DF,Fluminense,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Guilherme,BRA,MF,Goiás,1991,{'2023': ['Brasil2023SerieA']}
Guilherme,BRA,"FW,MF",Fortaleza,1995,{'2023': ['Brasil2023SerieA']}
Guilherme,BRA,"DF,MF",Red Bull Bragantino,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Luis Guilherme,BRA,"FW,MF",Palmeiras,2006,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Premier League']}"
Gustavinho,BRA,"MF,FW",Grêmio,2001,{'2023': ['Brasil2023SerieA']}
Gustavinho,BRA,"MF,FW",Red Bull Bragantino,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Raphael Guzzo,POR,MF,Goiás,1995,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga']}"
Lucas Halter,BRA,DF,Goiás,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Hayner,BRA,"DF,MF",Coritiba,1995,{'2023': ['Brasil2023SerieA']}
Thiago Heleno,BRA,DF,Ath Paranaense,1988,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Helinho,BRA,FW,Red Bull Bragantino,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Henrique,BRA,DF,Coritiba,1986,{'2023': ['Brasil2023SerieA']}
Bruno Henrique,BRA,"FW,MF",Flamengo,1990,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bruno Henrique,BRA,MF,Internacional,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Dalbert Henrique,BRA,DF,Internacional,1993,{'2023': ['Brasil2023SerieA']}
Fernando Henrique,BRA,MF,Cruzeiro,2001,{'2023': ['Brasil2023SerieA']}
Luis Henrique,BRA,"FW,MF",Botafogo (RJ),2001,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Mateus Henrique,BRA,DF,América (MG),2002,{'2023': ['Brasil2023SerieA']}
Paulo Henrique,BRA,DF,Vasco da Gama,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Pedro Henrique,BRA,DF,Ath Paranaense,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Pedro Henrique,BRA,"FW,MF",Internacional,1990,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Breno Herculano,BRA,"FW,MF",Goiás,1999,{'2023': ['Brasil2023SerieA']}
Hércules,BRA,MF,Fortaleza,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Diego Hernández,URU,FW,Botafogo (RJ),2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nicolás Hernández,COL,DF,Internacional,1998,{'2023': ['Brasil2023SerieA']}
Lucca Holanda,BRA,FW,Internacional,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Hugo,BRA,DF,Goiás,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Hugo,BRA,DF,Botafogo (RJ),2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Victor Hugo,BRA,"MF,FW",Flamengo,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Hulk,BRA,FW,Atlético Mineiro,1986,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
José Hurtado,ECU,DF,Red Bull Bragantino,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Hyoran,BRA,"MF,FW",Atlético Mineiro,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Igor,BRA,MF,Flamengo,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Primeira Liga']}"
André Inácio,BRA,FW,Flamengo,2002,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Gabriel Inocêncio,BRA,DF,Santos,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Isaac,BRA,FW,Atlético Mineiro,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Primeira Liga']}"
Juan Iturbe,PAR,"FW,MF",Grêmio,1993,{'2023': ['Brasil2023SerieA']}
Zé Ivaldo,BRA,DF,Ath Paranaense,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Ivonei,BRA,MF,Santos,2002,{'2023': ['Brasil2023SerieA']}
Vítor Jacaré,BRA,"DF,MF",Bahia,1999,{'2023': ['Brasil2023SerieA']}
Jadsom,BRA,MF,Red Bull Bragantino,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jair,BRA,MF,Vasco da Gama,1994,{'2023': ['Brasil2023SerieA']}
Jamerson,BRA,"DF,FW",Coritiba,1998,{'2023': ['Brasil2023SerieA']}
Janderson,BRA,"FW,MF",Botafogo (RJ),1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jandrei,BRA,GK,São Paulo,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jemerson,BRA,DF,Atlético Mineiro,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Alexandre Jesus,BRA,DF,Fluminense,2001,{'2023': ['Brasil2023SerieA']}
