Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Sven Mijnans,NED,"MF,FW",AZ Alkmaar,24-238,2000,3,256,85,94.8,2.8,3,85,1,0,,0,1.00,3,5,-2,-0.70,-0.70,2.7,3.3,-0.5,-0.19,-4.00
Georges Mikautadze,GEO,"FW,MF",Lyon,24-002,2000,2,28,14,10.4,0.3,0,,0,2,14,1,1.50,0,0,0,0.00,-1.49,0.5,0.3,+0.2,+0.77,+0.36
August Mikkelsen,NOR,MF,Bodø/Glimt,24-009,2000,1,1,1,0.4,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-0.67,0.0,0.1,-0.1,-9.45,-8.77
Virgil Misidjan,SUR,"FW,MF",Ferencváros,31-101,1993,0,,,,,0,,0,0,,3,1.00,,,,,,,,,,
Brede Moe,NOR,DF,Bodø/Glimt,32-323,1991,0,,,,,0,,0,0,,1,,,,,,,,,,,
Max Moerstedt,GER,"FW,MF",Hoffenheim,,,2,104,52,38.5,1.2,1,86,0,1,18,0,2.00,3,0,+3,+2.60,+4.22,1.8,0.5,+1.3,+1.16,+1.27
Jorthy Mokio,BEL,FW,Ajax,16-247,2008,1,4,4,1.5,0.0,0,,0,1,4,0,3.00,0,0,0,0.00,-2.37,0.0,0.0,0.0,+0.63,-0.81
Dimitrios Monastirlis,GRE,GK,PAOK,20-225,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Mikey Moore,ENG,FW,Tottenham,17-083,2007,3,183,61,67.8,2.0,2,89,1,1,6,0,3.00,3,1,+2,+0.98,-2.12,3.0,1.9,+1.1,+0.52,+1.00
Rodrigo Mora,POR,MF,Porto,17-181,2007,1,22,22,8.1,0.2,0,,0,1,22,2,0.00,1,0,+1,+4.09,+4.09,1.1,0.1,+1.0,+4.09,+4.37
Valentyn Morhun,UKR,GK,Dynamo Kyiv,23-084,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Anthony Moris,LUX,GK,Union SG,34-187,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,4.6,4.6,0.0,-0.01,
Jhon Mosquera,COL,DF,Viktoria Plzeň,34-178,1990,1,4,4,1.5,0.0,0,,0,1,4,2,2.33,0,0,0,0.00,0.00,0.1,0.0,+0.1,+2.51,+2.27
Youssoufa Moukoko,GER,FW,Nice,19-348,2004,3,190,63,70.4,2.1,2,82,1,1,27,0,0.33,2,5,-3,-1.42,-0.30,2.5,3.2,-0.7,-0.33,-0.12
Mason Mount,ENG,FW,Manchester Utd,25-297,1999,1,12,12,4.4,0.1,0,,0,1,12,0,1.00,0,0,0,0.00,0.00,0.2,0.0,+0.2,+1.35,+1.39
Moura,POR,DF,Porto,25-078,1999,3,259,86,95.9,2.9,3,86,2,0,,0,1.33,6,6,0,0.00,-8.18,4.3,4.9,-0.6,-0.22,-7.17
João Moutinho,POR,MF,Braga,38-055,1986,1,60,60,22.2,0.7,1,60,0,0,,0,1.75,0,1,-1,-1.50,-0.64,1.0,0.6,+0.4,+0.55,-0.67
Christos Mouzakitis,GRE,MF,Olympiacos,17-313,2006,2,168,84,62.2,1.9,2,84,1,0,,1,3.00,4,0,+4,+2.14,+3.91,2.4,2.6,-0.2,-0.13,-0.53
Ernest Muçi,ALB,FW,Beşiktaş,23-228,2001,2,155,78,57.4,1.7,2,78,1,0,,1,1.75,1,3,-2,-1.16,+1.19,2.6,4.6,-2.0,-1.18,-0.60
Mert Müldür,TUR,DF,Fenerbahçe,25-213,1999,3,244,81,90.4,2.7,3,81,2,0,,0,1.67,3,2,+1,+0.37,+0.37,3.1,4.2,-1.1,-0.41,+0.45
Mason Munn,NIR,GK,Rangers,18-217,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Aihen Muñoz,ESP,DF,Real Sociedad,27-078,1997,2,149,75,55.2,1.7,2,75,1,0,,0,0.50,2,3,-1,-0.60,-1.35,1.8,2.1,-0.3,-0.19,-0.85
Alexandru Musi,ROU,MF,FCSB,20-108,2004,1,31,31,11.5,0.3,0,,0,1,31,2,0.00,0,1,-1,-2.90,-3.28,0.2,0.3,0.0,-0.09,+0.35
Almoatasem Al Musrati,LBY,MF,Beşiktaş,28-210,1996,2,85,43,31.5,0.9,1,80,0,1,5,0,1.75,0,4,-4,-4.24,-3.75,0.7,2.6,-1.9,-1.98,-1.56
Bəhlul Mustafazadə,AZE,DF,Qarabağ,27-249,1997,3,164,55,60.7,1.8,2,79,1,1,7,0,0.00,1,5,-4,-2.20,+0.35,2.7,2.3,+0.4,+0.24,+1.79
Mykola Mykhailenko,UKR,MF,Dynamo Kyiv,23-164,2001,2,148,74,54.8,1.6,2,74,0,0,,0,0.00,0,3,-3,-1.82,+0.39,0.9,3.1,-2.1,-1.30,+0.44
Taras Mykhavko,UKR,DF,Dynamo Kyiv,19-156,2005,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,0,6,-6,-2.00,,1.5,6.0,-4.5,-1.50,
David Møller Wolfe,NOR,DF,AZ Alkmaar,22-193,2002,3,264,88,97.8,2.9,3,88,2,0,,0,1.00,3,5,-2,-0.68,-0.68,3.5,3.3,+0.2,+0.07,+2.41
Moussa N'Diaye,SEN,DF,Anderlecht,22-137,2002,3,168,56,62.2,1.9,2,76,0,1,16,0,3.00,5,1,+4,+2.14,+2.14,2.3,1.7,+0.6,+0.30,-0.52
Obite N'Dicka,CIV,DF,Roma,25-074,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,4.6,3.2,+1.4,+0.47,
Stanley N'Soki,FRA,DF,Hoffenheim,25-207,1999,3,252,84,93.3,2.8,3,84,2,0,,0,1.33,2,3,-1,-0.36,-5.36,3.9,2.8,+1.1,+0.38,-0.03
