Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Paulo Oliveira,POR,DF,Braga,32-304,1992,4,350,88,38.9,3.9,4,88,3,0,,1,2.50,7,1,+6,+1.54,+0.89,7.5,4.1,+3.4,+0.87,+0.52
Talys Oliveira,BRA,DF,Farense,25-271,1999,3,250,83,27.8,2.8,3,83,1,0,,0,0.00,1,7,-6,-2.16,-1.19,2.1,6.4,-4.3,-1.56,-0.43
Samu Omorodion,ESP,FW,Porto,20-186,2004,7,478,68,53.1,5.3,5,87,3,2,23,0,2.57,18,2,+16,+3.01,+1.52,13.0,3.0,+10.0,+1.88,+0.38
Bruno Onyemaechi,NGA,DF,Boavista,25-218,1999,10,847,85,94.1,9.4,9,90,9,1,37,0,0.90,7,13,-6,-0.64,-0.64,9.6,13.1,-3.5,-0.38,-1.42
Jandro Orellana,ESP,MF,Estoril,24-092,2000,10,581,58,64.6,6.5,7,68,1,3,35,0,0.90,6,10,-4,-0.62,+0.51,6.4,9.8,-3.4,-0.53,+2.07
Nicolás Otamendi,ARG,DF,Benfica,36-269,1988,8,636,80,78.5,7.1,7,90,7,1,6,0,2.44,22,4,+18,+2.55,+2.55,15.2,3.5,+11.7,+1.66,+1.01
Amine El Ouazzani,MAR,FW,Braga,23-115,2001,10,462,46,51.3,5.1,4,73,0,6,29,0,2.00,10,3,+7,+1.36,+0.75,9.2,5.3,+3.9,+0.77,+0.44
Amine Oudrhiri,MAR,MF,Rio Ave,32-003,1992,9,609,68,67.7,6.8,8,72,0,1,32,1,1.00,4,11,-7,-1.03,+0.51,6.3,11.6,-5.3,-0.78,-0.48
Pablo,BRA,MF,Gil Vicente FC,20-310,2004,1,22,22,2.4,0.2,0,,0,1,22,0,0.00,1,0,+1,+4.09,+4.60,0.5,0.2,+0.3,+1.31,+1.75
Renato Pantalon,CRO,DF,Rio Ave,27-011,1997,8,690,86,76.7,7.7,7,90,7,1,60,1,0.88,5,15,-10,-1.30,-0.45,7.9,15.1,-7.1,-0.93,-1.28
Jonathan Panzo,ENG,DF,Rio Ave,24-013,2000,7,481,69,53.4,5.3,6,73,4,1,46,1,0.71,4,9,-5,-0.94,+0.57,7.9,9.0,-1.2,-0.22,+0.88
David Pastor,BRA,"DF,MF",Farense,24-261,2000,8,643,80,71.4,7.1,7,90,7,1,13,1,0.50,3,10,-7,-0.98,+1.12,5.5,13.6,-8.1,-1.13,+0.41
Patrick,BRA,DF,Rio Ave,27-157,1997,7,455,65,50.6,5.1,5,77,3,2,36,1,0.71,4,11,-7,-1.38,-0.37,4.9,7.5,-2.6,-0.52,+0.23
Vangelis Pavlidis,GRE,FW,Benfica,25-352,1998,9,724,80,89.4,8.0,9,80,2,0,,0,2.20,17,5,+12,+1.49,-4.79,12.4,4.7,+7.7,+0.96,-4.55
Zé Pedro Figueiredo,POR,DF,Porto,27-154,1997,8,657,82,73.0,7.3,7,90,7,1,27,2,2.63,17,3,+14,+1.92,-1.42,14.8,5.1,+9.7,+1.33,-1.37
Daniel Penha,BRA,"MF,FW",Nacional,26-021,1998,8,409,51,50.5,4.5,5,74,0,3,14,2,1.00,3,2,+1,+0.22,+2.02,6.6,3.1,+3.5,+0.77,+1.58
Pepê,BRA,"FW,MF",Porto,27-257,1997,10,724,72,80.4,8.0,8,84,3,2,27,0,2.70,21,4,+17,+2.11,-0.95,18.9,6.1,+12.8,+1.60,-0.56
Pereira,POR,"FW,MF",Casa Pia,22-266,2002,4,133,33,14.8,1.5,2,48,0,2,19,1,1.75,1,1,0,0.00,+0.47,0.7,1.2,-0.6,-0.38,-0.30
Francisco Pereira,POR,MF,Estoril,22-275,2002,1,12,12,1.3,0.1,0,,0,1,12,1,0.00,0,0,0,0.00,+0.81,0.0,0.3,-0.3,-2.23,-0.98
Matheus Pereira,BRA,FW,Santa Clara,23-322,2000,8,192,24,21.3,2.1,1,75,0,7,17,2,1.88,3,0,+3,+1.41,+1.66,4.5,1.8,+2.6,+1.24,+0.93
Sebastián Pérez Cardona,COL,MF,Boavista,31-223,1993,10,660,66,73.3,7.3,7,88,5,3,16,0,0.90,4,11,-7,-0.95,-1.33,6.7,11.1,-4.4,-0.60,-1.15
Nehuén Pérez,ARG,DF,Porto,24-136,2000,6,513,86,57.0,5.7,6,86,5,0,,0,3.00,19,2,+17,+2.98,+1.59,15.3,3.4,+12.0,+2.10,+0.92
Francisco Petrasso,ARG,DF,Rio Ave,22-253,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Petterson,BRA,"MF,FW",Estrela,20-308,2004,3,69,23,7.7,0.8,0,,0,3,23,0,0.00,0,1,-1,-1.30,-0.11,0.5,1.3,-0.9,-1.16,-0.40
Lucas Piazon,BRA,"MF,FW",AVS Futebol,30-292,1994,9,753,84,83.7,8.4,9,84,5,0,,0,0.89,8,15,-7,-0.84,+1.00,7.0,11.7,-4.7,-0.56,-0.24
Wagner Pina,CPV,DF,Estoril,22-004,2002,10,688,69,76.4,7.6,8,80,5,2,26,0,0.90,7,15,-8,-1.05,-1.05,7.5,17.1,-9.7,-1.27,-0.02
Rodrigo Pinheiro,POR,DF,Famalicão,22-071,2002,7,276,39,30.7,3.1,3,75,2,4,13,3,1.71,2,1,+1,+0.33,+0.04,2.5,3.5,-1.0,-0.32,+0.02
Rodrigo Pinho,BRA,FW,Estrela,33-161,1991,10,476,48,52.9,5.3,5,70,1,5,25,0,0.60,3,8,-5,-0.95,+0.54,5.4,9.4,-4.0,-0.75,+0.07
Alexandre Pinto,POR,"DF,FW",Arouca,26-122,1998,2,11,6,1.2,0.1,0,,0,2,6,8,0.00,0,1,-1,-8.18,-6.97,0.0,0.2,-0.2,-1.30,-0.19
Dinis Pinto,POR,DF,Moreirense,24-075,2000,5,332,66,36.9,3.7,3,90,3,2,31,5,1.80,7,2,+5,+1.36,+2.15,6.2,2.3,+3.9,+1.07,+1.32
Jaime Pinto,POR,MF,Farense,27-040,1997,1,39,39,4.3,0.4,0,,0,1,39,0,0.00,0,1,-1,-2.31,-1.05,0.2,0.5,-0.3,-0.71,+0.55
João Pinto,POR,MF,Gil Vicente FC,22-068,2002,1,1,1,0.1,0.0,0,,0,1,1,1,0.00,0,0,0,0.00,+0.40,0.0,0.0,0.0,-1.95,-1.55
Ole Pohlmann,GER,"FW,MF",Rio Ave,23-216,2001,7,390,56,43.3,4.3,4,70,0,3,36,3,1.00,2,6,-4,-0.92,+0.49,3.4,7.6,-4.2,-0.98,-0.61
Carlos Ponck,CPV,DF,Moreirense,29-299,1995,5,259,52,28.8,2.9,3,81,2,2,9,5,2.00,3,0,+3,+1.04,+1.46,2.8,2.1,+0.7,+0.25,+0.01
Boris Popović,SRB,DF,Arouca,24-255,2000,6,455,76,50.6,5.1,5,90,5,1,5,0,0.67,4,11,-7,-1.38,-0.17,5.1,10.8,-5.8,-1.14,-0.07
Darío Poveda,ESP,"FW,MF",Farense,27-239,1997,8,344,43,38.2,3.8,3,71,1,5,26,0,0.00,2,8,-6,-1.57,-0.44,3.8,6.3,-2.5,-0.66,+0.95
Gianluca Prestianni,ARG,"MF,FW",Benfica,18-281,2006,7,274,39,33.8,3.0,4,61,0,3,10,1,2.29,3,1,+2,+0.66,-2.03,5.2,1.3,+4.0,+1.30,-0.21
Miguel Puche García,ESP,FW,Arouca,23-191,2001,4,17,4,1.9,0.2,0,,0,4,4,3,1.00,0,1,-1,-5.29,-4.07,0.3,0.3,0.0,-0.04,+1.08
Quaresma,BRA,DF,Arouca,28-077,1996,3,78,26,8.7,0.9,0,,0,3,26,0,0.00,1,1,0,0.00,+1.42,1.7,0.8,+0.9,+1.03,+2.33
Eduardo Quaresma,POR,DF,Sporting CP,22-250,2002,6,391,65,43.4,4.3,5,77,1,1,8,1,3.00,15,2,+13,+2.99,-0.37,12.4,2.9,+9.5,+2.18,-0.14
Geovany Quenda,POR,"MF,DF",Sporting CP,17-191,2007,10,666,67,74.0,7.4,8,78,3,2,20,0,3.00,25,3,+22,+2.97,-0.87,22.0,4.7,+17.2,+2.33,+0.27
Jesús Ramírez,VEN,FW,Vitória,26-187,1998,10,248,25,27.6,2.8,2,69,0,8,14,0,1.80,2,3,-1,-0.36,-0.78,3.7,2.9,+0.8,+0.30,+0.20
Bruno Ramos,BRA,DF,Sporting CP,19-294,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
Cláudio Ramos,POR,GK,Porto,32-357,1991,0,,,,,0,,0,0,,10,,,,,,,,,,,
Guilherme Ramos,POR,DF,Santa Clara,27-088,1997,2,69,35,7.7,0.8,1,45,0,1,24,4,1.50,0,2,-2,-2.61,-2.93,1.2,2.0,-0.8,-1.02,-1.66
João Rêgo,POR,FW,Benfica,19-140,2005,1,5,5,0.6,0.1,0,,0,1,5,1,1.00,1,0,+1,+18.00,+16.10,0.8,0.0,+0.8,+14.19,+12.83
Amine Rehmi,NED,FW,Rio Ave,22-220,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Francisco Reis Ferreira,POR,DF,Estrela,27-226,1997,4,360,90,40.0,4.0,4,90,4,0,,1,0.25,3,11,-8,-2.00,-1.33,4.2,7.5,-3.3,-0.82,-0.06
Matheus Reis,BRA,"DF,MF",Sporting CP,29-263,1995,8,267,33,29.7,3.0,3,69,0,5,12,1,3.00,9,1,+8,+2.70,-0.72,7.5,0.7,+6.8,+2.30,+0.05
Tiago Reis,BRA,FW,Nacional,25-085,1999,5,203,41,25.1,2.3,3,56,0,2,18,2,0.60,1,1,0,0.00,+1.04,3.9,1.5,+2.4,+1.05,+1.42
Miguel Reisinho,POR,"MF,FW",Boavista,25-212,1999,8,612,77,68.0,6.8,6,89,4,2,39,0,1.00,5,5,0,0.00,+1.87,7.9,6.6,+1.3,+0.19,+1.51
Marco Ribeiro,POR,MF,Boavista,19-146,2005,6,53,9,5.9,0.6,0,,0,6,9,4,1.00,2,1,+1,+1.70,+2.44,2.3,0.8,+1.5,+2.47,+2.93
Rodrigo Ribeiro,POR,FW,Sporting CP,19-193,2005,1,2,2,0.2,0.0,0,,0,1,2,2,3.00,0,1,-1,-45.00,-48.31,0.4,0.4,0.0,+1.18,-1.08
Rodrigo Ribeiro,POR,FW,AVS Futebol,19-193,2005,5,363,73,40.3,4.0,4,87,3,1,17,0,1.00,4,5,-1,-0.25,+1.26,4.8,4.8,0.0,0.00,+0.88
Tomás Ribeiro,POR,DF,Vitória,25-191,1999,4,315,79,35.0,3.5,3,90,3,1,45,3,1.75,4,4,0,0.00,-0.31,2.2,4.2,-2.0,-0.58,-1.14
Yuri Ribeiro,POR,DF,Braga,27-288,1997,6,280,47,31.1,3.1,3,75,2,3,18,1,1.67,4,1,+3,+0.96,-0.05,6.0,2.8,+3.2,+1.04,+0.70
Ricardinho,POR,"FW,MF",Santa Clara,26-093,1998,10,293,29,32.6,3.3,1,70,0,9,25,0,1.80,3,3,0,0.00,-0.15,5.5,3.0,+2.4,+0.74,+0.34
José Ricardo,BRA,DF,AVS Futebol,26-064,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Riccieli,BRA,DF,Famalicão,26-051,1998,3,136,45,15.1,1.5,1,90,1,2,23,5,2.33,4,3,+1,+0.66,+0.43,2.6,2.8,-0.3,-0.17,+0.19
Omar Richards,ENG,"DF,MF",Rio Ave,26-266,1998,7,499,71,55.4,5.5,7,71,2,0,,0,0.86,5,12,-7,-1.26,-0.14,5.7,8.7,-3.0,-0.54,+0.20
Rivaldo,,DF,Farense,24-050,2000,4,360,90,40.0,4.0,4,90,4,0,,5,0.00,1,10,-9,-2.25,-1.58,2.5,9.4,-6.9,-1.73,-0.81
Óscar Rivas,ESP,DF,Vitória,24-225,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Pablo Roberto,BRA,"FW,MF",Casa Pia,24-359,1999,7,234,33,26.0,2.6,2,69,0,5,19,0,0.71,1,3,-2,-0.77,-0.50,2.4,4.0,-1.7,-0.64,-0.69
Joel Robles,ESP,GK,Estoril,34-143,1990,9,810,90,90.0,9.0,9,90,9,0,,0,1.00,7,12,-5,-0.56,+2.44,8.2,18.3,-10.1,-1.12,+1.44
Matí­as Rocha,URU,DF,Arouca,23-268,2001,3,260,87,28.9,2.9,3,87,2,0,,0,1.00,1,2,-1,-0.35,+1.34,2.3,3.6,-1.3,-0.44,+0.94
Rochinha,POR,FW,Famalicão,29-188,1995,9,552,61,61.3,6.1,8,66,0,1,21,0,1.67,6,5,+1,+0.16,-0.35,4.7,8.1,-3.4,-0.56,-0.58
Afonso Rodrigues,POR,FW,Famalicão,22-080,2002,1,1,1,0.1,0.0,0,,0,1,1,3,1.00,0,0,0,0.00,-0.30,0.0,0.0,0.0,0.00,+0.34
Ivo Rodrigues,POR,"MF,FW",Arouca,29-222,1995,8,487,61,54.1,5.4,6,74,1,2,23,0,0.88,3,10,-7,-1.29,+0.01,4.4,11.1,-6.7,-1.23,-0.28
