Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Alisson,BRA,GK,Liverpool,32-015,1992,2,180,90,100.0,2.0,2,90,2,0,,0,3.00,5,1,+4,+2.00,,4.3,1.2,+3.1,+1.54,
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-260,2000,2,121,61,67.2,1.3,2,61,0,0,,0,1.50,1,3,-2,-1.49,+0.04,1.6,3.4,-1.8,-1.31,+0.77
Mohamed Aly Camara,GUI,DF,Young Boys,27-050,1997,2,180,90,100.0,2.0,2,90,2,0,,0,1.50,0,8,-8,-4.00,,1.4,5.4,-4.0,-2.02,
Jordan Amavi,FRA,DF,Brest,30-222,1994,1,83,83,46.1,0.9,1,83,0,0,,0,3.00,2,1,+1,+1.08,-2.63,0.5,0.5,0.0,+0.03,-1.79
Zeki Amdouni,SUI,FW,Benfica,23-318,2000,2,34,17,18.9,0.4,0,,0,2,17,0,3.00,2,0,+2,+5.29,+3.44,1.6,0.0,+1.6,+4.16,+2.41
Benjamin André,FRA,MF,Lille,34-075,1990,2,180,90,100.0,2.0,2,90,2,0,,0,1.67,1,2,-1,-0.50,,1.5,3.6,-2.0,-1.01,
Robert Andrich,GER,MF,Leverkusen,30-025,1994,2,106,53,58.9,1.2,1,90,1,1,16,0,3.00,4,0,+4,+3.40,+2.18,1.9,1.1,+0.8,+0.66,-0.55
Waldemar Anton,GER,DF,Dortmund,28-089,1996,2,122,61,67.8,1.4,1,90,1,1,32,0,3.00,10,1,+9,+6.64,+6.64,3.7,2.5,+1.2,+0.86,+0.97
Maximiliano Araújo,URU,DF,Sporting CP,24-245,2000,2,29,15,16.1,0.3,0,,0,2,15,0,2.00,1,0,+1,+3.10,+2.51,1.0,1.1,-0.2,-0.56,-0.65
Tomás Araújo,POR,DF,Benfica,22-154,2002,1,90,90,50.0,1.0,1,90,1,0,,1,3.00,4,0,+4,+4.00,+3.00,4.4,0.2,+4.2,+4.16,+3.91
Marko Arnautović,AUT,FW,Inter,35-181,1989,1,63,63,35.0,0.7,1,63,0,0,,0,3.00,2,0,+2,+2.86,+1.32,1.6,0.4,+1.2,+1.64,+2.01
Arthur,BRA,DF,Leverkusen,21-214,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Marco Asensio,ESP,FW,Paris S-G,28-270,1996,1,38,38,21.1,0.4,1,38,0,0,,1,3.00,0,0,0,0.00,+0.63,0.3,0.0,+0.3,+0.60,-0.20
Kristjan Asllani,ALB,MF,Inter,22-222,2002,1,21,21,11.7,0.2,0,,0,1,21,1,3.00,2,0,+2,+8.57,+7.44,1.2,0.1,+1.1,+4.77,+5.03
Yaser Asprilla,COL,"FW,MF",Girona,20-333,2003,2,41,21,22.8,0.5,0,,0,2,21,0,0.00,0,2,-2,-4.39,-4.39,0.2,2.0,-1.7,-3.83,-4.02
Ander Astralaga,ESP,GK,Barcelona,20-228,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Zachary Athekame,SUI,DF,Young Boys,19-309,2004,2,123,62,68.3,1.4,1,90,1,1,33,0,0.00,0,4,-4,-2.93,+3.39,1.3,2.3,-1.0,-0.77,+3.97
Carlos Augusto,BRA,DF,Inter,25-284,1999,2,180,90,100.0,2.0,2,90,2,0,,0,2.00,4,0,+4,+2.00,,3.5,2.9,+0.7,+0.34,
Yann Aurel Bisseck,GER,DF,Inter,23-323,2000,2,91,46,50.6,1.0,1,74,0,1,17,0,2.00,1,0,+1,+0.99,-2.04,1.4,1.5,-0.1,-0.09,-0.86
Fredrik Aursnes,NOR,MF,Benfica,28-312,1995,2,125,63,69.4,1.4,1,90,1,1,35,0,3.00,4,1,+3,+2.16,-1.11,4.6,0.9,+3.7,+2.65,+1.46
Irakli Azarov,GEO,DF,Shakhtar,22-239,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ayman Azhil,MAR,MF,Dortmund,23-190,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
César Azpilicueta,ESP,"DF,MF",Atlético Madrid,35-050,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,
Isaac Babadi,NED,MF,PSV Eindhoven,19-194,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Nicola Bagnolini,ITA,GK,Bologna,20-217,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Alexander Bah,DEN,DF,Benfica,26-313,1997,2,121,61,67.2,1.3,2,61,0,0,,0,3.00,6,0,+6,+4.46,+5.99,5.3,0.4,+4.9,+3.67,+4.48
