Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augusto Dabo,POR,DF,Boavista,20-239,2004,1.0,0,1,1,100.0,0.96,0.96,0.00,0.00,9.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Amadou Dante,MLI,"DF,MF",Arouca,24-031,2000,5.6,0,3,2,66.7,0.54,0.36,0.00,0.00,23.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Mathias De Amorim,FRA,MF,Famalicão,19-333,2004,1.0,0,1,0,0.0,1.05,0.00,0.00,,15.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Zeno Debast,BEL,DF,Sporting CP,21-014,2003,6.3,0,3,1,33.3,0.48,0.16,0.00,0.00,19.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Depú,ANG,FW,Gil Vicente FC,24-304,2000,0.5,0,2,1,50.0,4.19,2.09,0.00,0.00,10.1,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Derick,BRA,"DF,MF",Farense,31-067,1993,4.3,0,4,1,25.0,0.92,0.23,0.00,0.00,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ángel Di María,ARG,FW,Benfica,36-267,1988,5.6,1,23,5,21.7,4.12,0.90,0.04,0.20,20.9,4,0,0,1.7,1.7,0.07,-0.7,-0.7
Matheus Dias,BRA,MF,Nacional,27-274,1997,8.2,0,2,0,0.0,0.24,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Tiago Dias,POR,FW,Casa Pia,26-187,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ousmane Diomande,CIV,DF,Sporting CP,20-339,2003,7.8,0,12,3,25.0,1.53,0.38,0.00,0.00,10.7,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Tiago Djaló,POR,DF,Porto,24-212,2000,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Maxime Dominguez,SUI,MF,Gil Vicente FC,28-280,1996,2.8,0,6,4,66.7,2.17,1.45,0.00,0.00,19.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Issiar Dramé,MLI,DF,Estrela,25-265,1999,2.8,0,1,0,0.0,0.36,0.00,0.00,,9.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Dudu,BRA,"FW,MF",Nacional,25-089,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcus Edwards,ENG,"FW,MF",Sporting CP,25-340,1998,0.7,1,5,1,20.0,6.82,1.36,0.20,1.00,9.9,0,0,0,0.6,0.6,0.11,+0.4,+0.4
Ricardo Esgaio,POR,"FW,DF",Sporting CP,31-175,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tiago Esgaio,POR,"DF,MF",Arouca,29-098,1995,9.9,0,7,1,14.3,0.71,0.10,0.00,0.00,10.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Dario Essugo,POR,MF,Sporting CP,19-238,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luís Esteves,POR,MF,Nacional,26-212,1998,8.9,0,19,4,21.1,2.12,0.45,0.00,0.00,25.8,2,0,0,1.1,1.1,0.06,-1.1,-1.1
Stephen Eustáquio,CAN,MF,Porto,27-322,1996,3.5,0,3,2,66.7,0.86,0.57,0.00,0.00,13.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Evanilson,BRA,FW,Porto,25-032,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
