Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-342,2001,1.4,0,3,0,0.0,2.20,0.00,0.00,,23.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Arthur Alexis,BEL,MF,Sint-Truiden,18-297,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thierry Ambrose,GLP,FW,Kortrijk,27-219,1997,8.8,1,18,6,33.3,2.04,0.68,0.06,0.17,15.5,0,0,0,1.3,1.3,0.07,-0.3,-0.3
Francis Amuzu,BEL,FW,Anderlecht,25-071,1999,3.6,1,11,1,9.1,3.04,0.28,0.09,1.00,20.1,2,0,0,0.5,0.5,0.05,+0.5,+0.5
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,27-043,1997,2.2,0,1,0,0.0,0.46,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0
Stelios Andreou,CYP,DF,Charleroi,22-101,2002,12.0,0,3,1,33.3,0.25,0.08,0.00,0.00,6.9,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Nilson Angulo,ECU,FW,Anderlecht,21-136,2003,2.6,0,4,1,25.0,1.57,0.39,0.00,0.00,12.9,0,0,0,0.8,0.8,0.20,-0.8,-0.8
Tiago Araújo,POR,"DF,FW",Gent,23-220,2001,1.3,0,6,0,0.0,4.58,0.00,0.00,,20.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Kristian Arnstad,NOR,DF,Anderlecht,21-056,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tolu Arokodare,NGA,FW,Genk,23-345,2000,10.8,8,55,15,27.3,5.07,1.38,0.15,0.53,10.9,0,0,0,10.6,10.6,0.20,-2.6,-2.6
Raymond Asante,GHA,FW,Charleroi,20-159,2004,0.2,0,1,0,0.0,4.29,0.00,0.00,,34.7,0,0,0,0.0,0.0,0.01,0.0,0.0
Majeed Ashimeru,GHA,MF,Anderlecht,27-023,1997,3.3,1,6,1,16.7,1.84,0.31,0.17,1.00,23.0,0,0,0,0.3,0.3,0.06,+0.7,+0.7
Ludwig Augustinsson,SWE,DF,Anderlecht,30-195,1994,3.9,1,2,1,50.0,0.52,0.26,0.50,1.00,11.0,0,0,0,0.9,0.9,0.43,+0.1,+0.1
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,20-258,2004,4.4,1,13,4,30.8,2.97,0.91,0.08,0.25,15.5,0,0,0,1.8,1.8,0.14,-0.8,-0.8
Muhammed Badamosi,GAM,"FW,DF",Standard Liège,25-311,1998,0.7,0,1,0,0.0,1.50,0.00,0.00,,42.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Youssouph Badji,SEN,FW,Charleroi,22-318,2001,2.3,0,10,6,60.0,4.39,2.63,0.00,0.00,8.9,0,0,0,1.7,1.7,0.17,-1.7,-1.7
Bilal Bafdili,BEL,"MF,FW",Mechelen,20-091,2004,5.1,2,6,3,50.0,1.17,0.59,0.33,0.67,13.1,0,0,0,1.2,1.2,0.20,+0.8,+0.8
Michel-Ange Balikwisha,BEL,FW,Antwerp,23-176,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
William Balikwisha,COD,"FW,MF",OH Leuven,25-174,1999,6.7,1,9,3,33.3,1.34,0.45,0.11,0.33,21.3,0,0,0,0.4,0.4,0.04,+0.6,+0.6
