Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
João Mário,POR,MF,Beşiktaş,31-291,1993,1.1,5,4.55,4,1,0,0,0,0,1,0.91,1,0,0,0,0,0
João Mário Lopes,POR,DF,Porto,24-307,2000,1.9,6,3.23,6,0,0,0,0,0,1,0.54,1,0,0,0,0,0
Adam Markhiev,FIN,MF,FK Rīgas FS,22-233,2002,2.8,7,2.52,5,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Svetozar Marković,SRB,DF,Viktoria Plzeň,24-227,2000,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Omar Marmoush,EGY,"FW,MF",Eint Frankfurt,25-272,1999,2.7,18,6.69,8,6,0,1,3,0,2,0.74,1,0,0,0,1,0
Unai Marrero,ESP,GK,Real Sociedad,23-027,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jon Martin,ESP,DF,Real Sociedad,18-309,2006,2.0,3,1.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Emiliano Martínez,URU,MF,Midtjylland,25-080,1999,2.8,7,2.48,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Gabri Martínez,ESP,MF,Braga,21-288,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lisandro Martínez,ARG,DF,Manchester Utd,26-292,1998,2.9,2,0.70,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gelson Martins,POR,FW,Olympiacos,29-178,1995,1.7,9,5.19,6,0,2,1,0,0,3,1.73,2,0,1,0,0,0
Bruno Martins Indi,NED,DF,AZ Alkmaar,32-271,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
