Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Wouter George,BEL,DF,OH Leuven,22-244,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pieter Gerkens,BEL,MF,Gent,29-081,1995,4.2,8,1.89,7,1,0,0,0,0,1,0.24,0,1,0,0,0,0
Faisal Al Ghamdi,KSA,MF,Beerschot,23-081,2001,3.7,7,2.60,5,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Óscar Gil,ESP,DF,OH Leuven,27-190,1997,4.9,10,2.03,8,1,1,0,0,0,1,0.20,1,0,0,0,0,0
Bruno Godeau,BEL,DF,Sint-Truiden,32-176,1992,11.8,11,0.93,5,1,1,4,0,0,3,0.25,1,0,0,2,0,0
Bryan Goncalves,FRA,DF,Dender,28-106,1996,3.4,7,2.03,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Parfait Guiagon,CIV,FW,Charleroi,23-254,2001,8.8,26,2.95,18,0,5,1,2,0,3,0.34,1,0,1,0,1,0
Muhammed Gümüskaya,TUR,FW,Westerlo,23-306,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrik Gunnarsson,ISL,GK,Kortrijk,23-353,2000,10.2,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andri Guðjohnsen,ISL,FW,Gent,22-278,2002,6.7,14,2.08,12,0,0,1,1,0,1,0.15,1,0,0,0,0,0
Anouar Ait El Hadj,BEL,MF,Union SG,22-196,2002,4.9,16,3.27,10,4,0,1,1,0,0,0.00,0,0,0,0,0,0
Geoffry Hairemans,BEL,"MF,FW",Mechelen,33-012,1991,2.6,9,3.42,8,1,0,0,0,0,1,0.38,1,0,0,0,0,0
Dogucan Haspolat,TUR,MF,Westerlo,24-265,2000,12.0,36,3.00,13,20,0,1,1,1,4,0.33,1,2,0,1,0,0
Ibe Hautekiet,BEL,DF,Standard Liège,22-203,2002,9.3,6,0.64,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Ewan Henderson,SCO,MF,Beerschot,24-220,2000,6.1,10,1.91,8,0,0,0,2,0,1,0.19,1,0,0,0,0,0
Lennard Hens,BEL,MF,Dender,28-268,1996,6.8,18,2.65,8,10,0,0,0,0,2,0.29,1,1,0,0,0,0
Daan Heymans,BEL,MF,Charleroi,25-140,1999,11.5,35,3.05,31,1,0,3,0,0,2,0.17,1,0,0,1,0,0
Bryan Heynen,BEL,MF,Genk,27-270,1997,8.1,20,2.47,17,0,1,0,0,2,4,0.49,4,0,0,0,0,0
David Hrnčár,SVK,"DF,MF",Dender,26-328,1997,7.5,24,3.19,14,6,2,2,0,0,3,0.40,3,0,0,0,0,0
Patrik Hrošovský,SVK,MF,Genk,32-194,1992,8.8,27,3.06,20,1,0,5,0,1,4,0.45,4,0,0,0,0,0
