Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
İsmail Yüksek,TUR,"MF,FW",Fenerbahçe,25-287,1999,0.9,43,43,0,0,0,0,1,0,0,0,0,0,31,0,2
Mattia Zaccagni,ITA,FW,Lazio,29-145,1995,2.2,102,91,9,5,0,2,9,1,3,2,1,0,73,2,4
Kristoffer Zachariassen,NOR,"MF,FW",Ferencváros,30-012,1994,2.9,89,87,2,0,1,0,4,1,0,0,0,0,69,0,3
Christos Zafeiris,GRE,MF,Slavia Prague,21-259,2003,3.0,134,115,19,9,0,2,15,1,9,5,4,0,100,0,0
Wilfried Zaha,CIV,FW,Lyon,31-364,1992,0.5,28,28,0,0,0,0,2,0,0,0,0,0,20,0,3
Eran Zahavi,ISR,FW,Maccabi Tel Aviv,37-106,1987,0.3,10,9,1,0,0,0,1,0,0,0,0,0,5,0,0
Rodrigo Zalazar,URU,MF,Braga,25-088,1999,0.7,37,32,5,4,0,1,1,0,1,0,1,0,31,0,1
Nicola Zalewski,POL,"DF,MF",Roma,22-290,2002,1.1,63,52,11,0,0,0,4,11,0,0,0,0,50,0,2
Dmitrijs Zelenkovs,LVA,"MF,DF",FK Rīgas FS,24-177,2000,3.7,137,122,13,4,0,1,4,7,2,0,2,0,102,2,4
Arber Zeneli,KVX,FW,Elfsborg,29-257,1995,3.0,65,53,11,1,0,0,14,2,8,4,4,0,42,1,3
Besfort Zeneli,KVX,MF,Elfsborg,21-353,2002,2.8,100,93,7,5,0,0,4,0,2,2,0,0,79,0,6
Nils Zetterström,SWE,DF,Malmö,19-224,2005,1.0,44,43,1,1,0,0,0,0,0,0,0,0,41,0,0
David Zima,CZE,DF,Slavia Prague,24-000,2000,3.0,175,165,8,3,0,0,0,0,0,0,0,0,151,2,3
Philip Zinckernagel,DEN,FW,Bodø/Glimt,29-328,1994,2.9,88,70,18,3,0,0,13,2,11,2,7,0,66,0,3
Joshua Zirkzee,NED,FW,Manchester Utd,23-170,2001,1.7,32,29,2,0,1,0,0,0,0,0,0,0,26,1,1
Andrija Živković,SRB,FW,PAOK,28-120,1996,3.2,196,175,19,3,0,1,25,8,8,5,3,0,133,2,5
Hakim Ziyech,MAR,MF,Galatasaray,31-234,1993,0.2,15,12,2,1,0,0,0,0,1,0,0,0,12,1,0
Ondřej Zmrzlý,CZE,"DF,FW",Slavia Prague,25-200,1999,2.5,86,77,8,0,0,0,4,8,0,0,0,0,55,1,4
Abdellah Zoubir,FRA,"FW,MF",Qarabağ,32-339,1991,3.8,222,215,5,2,2,1,6,2,1,1,0,0,182,2,5
Igor Zubeldia,ESP,DF,Real Sociedad,27-223,1997,1.9,110,107,3,3,1,0,1,0,0,0,0,0,98,0,3
Martín Zubimendi,ESP,MF,Real Sociedad,25-280,1999,3.0,212,211,1,1,0,1,0,0,0,0,0,0,185,0,1
Nino Žugelj,SVN,FW,Bodø/Glimt,24-169,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
