Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Guillaume François,BEL,"FW,DF",Union SG,34-152,1990,1.2,48,45,1,0,0,0,3,1,0,0,0,0,29,2,3
Matija Frigan,CRO,FW,Westerlo,21-265,2003,7.1,124,106,18,0,1,1,3,0,0,0,0,0,83,0,7
Haruya Fujii,JPN,DF,Kortrijk,23-312,2000,9.2,461,416,43,12,0,4,1,31,0,0,0,0,358,2,4
Joel Fujita,JPN,MF,Sint-Truiden,22-260,2002,9.7,478,464,13,11,0,2,2,2,0,0,0,0,403,1,2
Mohammed Fuseini,GHA,FW,Union SG,22-170,2002,9.0,145,140,3,0,0,0,6,2,0,0,0,0,100,2,10
Hugo Gambor,CTA,DF,Gent,21-308,2002,5.9,354,298,55,13,0,2,3,42,0,0,0,0,285,1,5
Omri Gandelman,ISR,MF,Gent,24-170,2000,7.2,180,179,1,1,1,0,1,0,0,0,0,0,123,0,7
Wouter George,BEL,DF,OH Leuven,22-244,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Pieter Gerkens,BEL,MF,Gent,29-081,1995,4.2,149,129,20,6,2,1,21,0,13,7,5,0,99,0,6
Faisal Al Ghamdi,KSA,MF,Beerschot,23-081,2001,3.7,109,108,1,1,3,1,2,0,0,0,0,0,93,0,0
Óscar Gil,ESP,DF,OH Leuven,27-190,1997,4.9,218,176,41,5,0,4,9,36,0,0,0,0,166,1,8
Bruno Godeau,BEL,DF,Sint-Truiden,32-176,1992,11.8,758,693,64,13,0,11,1,12,0,0,0,0,670,1,5
Bryan Goncalves,FRA,DF,Dender,28-106,1996,3.4,176,156,20,6,0,3,9,3,4,0,4,0,129,0,2
Parfait Guiagon,CIV,FW,Charleroi,23-254,2001,8.8,348,342,3,0,1,2,15,3,0,0,0,0,263,3,10
Muhammed Gümüskaya,TUR,FW,Westerlo,23-306,2001,0.1,3,2,1,0,0,0,1,0,0,0,0,0,2,0,0
Patrik Gunnarsson,ISL,GK,Kortrijk,23-353,2000,10.2,322,214,106,29,0,0,0,0,0,0,0,0,199,2,0
Andri Guðjohnsen,ISL,FW,Gent,22-278,2002,6.7,143,135,8,0,0,1,0,1,0,0,0,0,108,0,7
Anouar Ait El Hadj,BEL,MF,Union SG,22-196,2002,4.9,209,182,25,10,2,2,18,2,6,2,2,0,156,2,3
Geoffry Hairemans,BEL,"MF,FW",Mechelen,33-012,1991,2.6,142,129,13,7,1,1,13,0,6,1,3,0,115,0,1
Dogucan Haspolat,TUR,MF,Westerlo,24-265,2000,12.0,541,434,104,38,2,3,87,2,64,30,27,0,365,3,6
Ibe Hautekiet,BEL,DF,Standard Liège,22-203,2002,9.3,405,380,24,13,0,0,1,1,0,0,0,0,328,1,3
Ewan Henderson,SCO,MF,Beerschot,24-220,2000,6.1,195,179,15,5,1,0,7,6,0,0,0,0,147,1,6
Lennard Hens,BEL,MF,Dender,28-268,1996,6.8,351,295,54,20,1,6,50,1,31,18,13,0,223,2,8
Daan Heymans,BEL,MF,Charleroi,25-140,1999,11.5,521,514,4,1,1,3,10,3,0,0,0,0,400,3,4
Bryan Heynen,BEL,MF,Genk,27-270,1997,8.1,532,515,14,6,3,6,2,4,3,1,0,0,465,3,4
David Hrnčár,SVK,"DF,MF",Dender,26-328,1997,7.5,321,237,84,9,0,2,30,65,10,2,8,0,225,0,10
Patrik Hrošovský,SVK,MF,Genk,32-194,1992,8.8,417,396,19,4,1,4,13,2,9,3,3,0,362,2,3
Dean Huiberts,NED,MF,Beerschot,24-170,2000,2.2,59,57,2,0,1,0,1,2,0,0,0,0,39,0,2
Oh Hyeon-gyu,KOR,FW,Genk,23-204,2001,1.5,48,44,3,0,0,0,1,1,1,0,0,0,30,1,1
Hong Hyunseok,KOR,MF,Gent,25-139,1999,2.8,137,126,11,5,0,0,14,0,6,2,3,0,107,0,4
Mounaim El Idrissy,FRA,"DF,FW",Kortrijk,25-266,1999,3.4,95,91,4,0,0,0,8,4,0,0,0,0,58,0,4
Chukwubuikem Ikwuemesi,NGA,FW,OH Leuven,23-089,2001,4.1,68,59,8,1,1,0,2,0,0,0,0,0,49,1,1
Atsuki Ito,JPN,MF,Gent,26-083,1998,5.6,187,180,7,4,1,2,7,1,2,1,0,0,151,0,6
Ryotaro Ito,JPN,MF,Sint-Truiden,26-270,1998,8.2,404,364,40,12,5,0,31,1,25,16,3,0,333,0,9
Franjo Ivanović,CRO,FW,Union SG,21-032,2003,4.7,98,94,4,0,2,0,4,1,0,0,0,0,68,0,5
Vincent Janssen,NED,FW,Antwerp,30-140,1994,11.8,273,241,29,5,1,10,6,2,3,1,0,0,207,3,15
Wolke Janssens,BEL,DF,Sint-Truiden,29-296,1995,1.0,56,47,9,0,0,0,1,9,0,0,0,0,48,0,0
Ardon Jashari,SUI,MF,Club Brugge,22-095,2002,5.1,338,307,30,16,1,3,14,1,9,5,2,0,302,1,7
Edisson Jordanov,BUL,DF,Westerlo,31-147,1993,0.8,43,34,9,3,0,0,4,6,0,0,0,0,33,0,1
Ferran Jutglà,ESP,"FW,MF",Club Brugge,25-275,1999,3.2,121,115,4,0,0,0,5,1,0,0,0,0,91,2,3
Mathias Jørgensen,DEN,DF,Anderlecht,34-193,1990,8.0,571,517,51,18,0,6,0,1,0,0,0,0,506,3,1
Elton Kabangu,BEL,"FW,MF",Union SG,26-268,1998,1.4,20,20,0,0,0,0,2,0,0,0,0,0,15,0,2
Abdelkahar Kadri,ALG,MF,Kortrijk,24-131,2000,8.3,367,304,63,12,0,3,51,7,40,21,18,0,285,0,7
Emmanuel Kakou,CIV,DF,Cercle Brugge,19-125,2005,6.0,230,195,32,1,0,0,4,31,0,0,0,0,128,3,2
Ismaël Kandouss,MAR,MF,Gent,26-356,1997,0.0,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0
Takuro Kaneko,JPN,"MF,FW",Kortrijk,27-095,1997,7.5,262,228,34,5,1,2,50,5,12,10,1,0,171,0,7
Konstantinos Karetsas,BEL,MF,Genk,16-349,2007,5.0,291,251,39,6,3,4,42,5,21,10,9,0,220,1,5
Joris Kayembe,COD,"DF,MF",Genk,30-086,1994,11.9,899,796,101,11,1,4,32,90,0,0,0,0,774,2,12
Charly Keita,FRA,FW,Beerschot,25-139,1999,6.4,93,90,3,0,0,0,1,0,0,0,0,0,68,0,0
Check Keita,FRA,DF,Charleroi,21-214,2003,5.6,247,241,5,4,0,0,1,1,0,0,0,0,206,1,3
