Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Adama Traoré,ESP,"FW,MF",Fulham,Premier League,27,1996,4.2,139,137,2,0,0,1,26,2,0,0,0,0,97,0,7
Bénie Traoré,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,71,65,5,0,2,0,3,0,0,0,0,0,55,1,4
Bénie Traoré,CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,148,129,18,3,4,0,20,2,6,2,3,0,99,1,11
Bertrand Traoré,BFA,"DF,FW",Aston Villa,Premier League,27,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Bertrand Traoré,BFA,MF,Villarreal,La Liga,27,1995,6.3,213,204,8,1,2,2,9,2,5,1,0,0,167,1,3
Boubacar Traoré,MLI,MF,Wolves,Premier League,21,2001,9.1,455,444,10,4,0,2,6,5,0,0,0,0,383,1,7
Chaka Traorè,CIV,FW,Milan,Serie A,18,2004,0.2,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
Daouda Traoré,FRA,MF,Nice,Ligue 1,17,2006,0.2,9,8,1,0,0,0,0,1,0,0,0,0,9,0,0
Hamari Traoré,MLI,DF,Real Sociedad,La Liga,31,1992,25.5,1509,1247,255,20,5,14,47,235,0,0,0,0,1204,7,19
Ismaël Traoré,CIV,DF,Metz,Ligue 1,36,1986,24.7,777,753,23,23,0,3,0,0,0,0,0,0,674,1,5
Omar Traoré,GER,DF,Heidenheim,Bundesliga,25,1998,27.5,1240,935,302,10,1,2,73,292,0,0,0,0,881,3,54
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,33,1990,32.0,1166,890,271,59,0,2,0,0,0,0,0,0,867,5,1
Mark Travers,IRL,GK,Bournemouth,Premier League,24,1999,4.0,118,76,42,16,0,0,0,0,0,0,0,0,67,0,0
Óscar Trejo,ARG,"FW,MF",Rayo Vallecano,La Liga,35,1988,15.3,782,738,39,9,3,0,23,7,11,2,5,0,646,5,16
Mike Trésor,BEL,"FW,MF",Burnley,Premier League,24,1999,4.7,180,156,24,3,0,0,32,2,19,5,11,0,120,0,9
Manu Trigueros,ESP,MF,Villarreal,La Liga,31,1991,3.4,168,156,10,3,1,0,5,1,5,0,2,0,141,2,3
Christopher Trimmel,AUT,DF,Union Berlin,Bundesliga,36,1987,18.3,951,673,274,46,1,4,165,167,61,26,29,1,631,4,30
Kieran Trippier,ENG,DF,Newcastle Utd,Premier League,32,1990,24.8,2130,1705,418,109,1,12,212,197,112,42,38,8,1624,7,42
Leandro Trossard,BEL,"FW,MF",Arsenal,Premier League,28,1994,18.3,673,625,46,6,8,2,57,8,24,22,0,0,494,2,30
Adrien Truffert,FRA,DF,Rennes,Ligue 1,21,2001,23.8,1333,1081,247,21,0,1,72,225,1,1,0,0,1047,5,29
Auston Trusty,USA,DF,Sheffield Utd,Premier League,24,1998,28.6,920,842,76,7,0,0,5,68,0,0,0,0,701,2,11
Kostas Tsimikas,GRE,DF,Liverpool,Premier League,27,1996,7.5,500,389,110,14,0,1,72,67,29,7,22,0,383,1,10
Viktor Tsyhankov,UKR,"MF,FW",Girona,La Liga,25,1997,22.8,920,861,50,15,5,3,62,8,27,8,11,0,726,9,25
Stefano Turati,ITA,GK,Frosinone,Serie A,21,2001,30.5,1065,858,205,61,0,1,0,0,0,0,0,0,775,2,0
Matt Turner,USA,GK,Nott'ham Forest,Premier League,29,1994,17.0,578,373,199,63,0,0,0,0,0,0,0,0,398,6,2
Beñat Turrientes,ESP,MF,Real Sociedad,La Liga,21,2002,18.7,707,669,35,18,1,5,19,0,16,11,2,0,598,3,14
Tuta,BRA,DF,Eint Frankfurt,Bundesliga,24,1999,28.9,1906,1795,109,51,2,6,11,58,0,0,0,0,1614,2,32
